TIMESTAMP,MURATIAI_OPEN_PRICE_USD,MURATIAI_HIGH_PRICE_USD,MURATIAI_LOW_PRICE_USD,MURATIAI_CLOSE_PRICE_USD,MURATIAI_VOLUME_USD,MURATIAI_DIVIDENDS_USD,MURATIAI_STOCK_SPLITS_USD
2023-05-17 00:00:00+00:00,7.500000356230885e-05,9.600000339560211e-05,5.6000000768108293e-05,6.70000008540228e-05,1641915,0.0,0.0
2023-05-18 00:00:00+00:00,6.70000008540228e-05,7.300000288523734e-05,5.0999999075429514e-05,5.6000000768108293e-05,563215,0.0,0.0
2023-05-19 00:00:00+00:00,5.6000000768108293e-05,7.500000356230885e-05,4.70000013592653e-05,6.500000017695129e-05,549050,0.0,0.0
2023-05-20 00:00:00+00:00,6.500000017695129e-05,7.400000322377309e-05,6.399999983841553e-05,6.800000119255856e-05,262091,0.0,0.0
2023-05-21 00:00:00+00:00,6.800000119255856e-05,8.499999967170879e-05,6.0999998822808266e-05,6.399999983841553e-05,396661,0.0,0.0
2023-05-22 00:00:00+00:00,6.399999983841553e-05,9.100000170292333e-05,6.199999916134402e-05,7.400000322377309e-05,700941,0.0,0.0
2023-05-23 00:00:00+00:00,7.400000322377309e-05,8.600000001024455e-05,6.800000119255856e-05,7.000000186963007e-05,402511,0.0,0.0
2023-05-24 00:00:00+00:00,7.000000186963007e-05,8.399999933317304e-05,5.900000178371556e-05,7.100000220816582e-05,530526,0.0,0.0
2023-05-25 00:00:00+00:00,7.100000220816582e-05,7.300000288523734e-05,4.3000000005122274e-05,4.8000001697801054e-05,932836,0.0,0.0
2023-05-26 00:00:00+00:00,4.70000013592653e-05,5.199999941396527e-05,4.199999966658652e-05,4.70000013592653e-05,468826,0.0,0.0
2023-05-27 00:00:00+00:00,4.70000013592653e-05,5.500000042957254e-05,4.3000000005122274e-05,5.2999999752501026e-05,202109,0.0,0.0
2023-05-28 00:00:00+00:00,5.2999999752501026e-05,7.79999973019585e-05,4.999999873689376e-05,6.500000017695129e-05,596757,0.0,0.0
2023-05-29 00:00:00+00:00,6.500000017695129e-05,8.800000068731606e-05,6.199999916134402e-05,8.099999831756577e-05,728265,0.0,0.0
2023-05-30 00:00:00+00:00,8.099999831756577e-05,8.299999899463728e-05,7.100000220816582e-05,7.300000288523734e-05,482035,0.0,0.0
2023-05-31 00:00:00+00:00,7.300000288523734e-05,7.999999797903001e-05,5.700000110664405e-05,7.200000254670158e-05,588673,0.0,0.0
2023-06-01 00:00:00+00:00,7.200000254670158e-05,7.79999973019585e-05,5.700000110664405e-05,6.199999916134402e-05,1452137,0.0,0.0
2023-06-02 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,5.2999999752501026e-05,5.700000110664405e-05,1844644,0.0,0.0
2023-06-03 00:00:00+00:00,5.700000110664405e-05,5.8000001445179805e-05,4.8000001697801054e-05,4.999999873689376e-05,1198143,0.0,0.0
