TIMESTAMP,DOGA30412_OPEN_PRICE_USD,DOGA30412_HIGH_PRICE_USD,DOGA30412_LOW_PRICE_USD,DOGA30412_CLOSE_PRICE_USD,DOGA30412_VOLUME_USD,DOGA30412_DIVIDENDS_USD,DOGA30412_STOCK_SPLITS_USD
2024-04-05 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,126393,0.0,0.0
2024-04-06 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,93240,0.0,0.0
2024-04-07 00:00:00+00:00,3.000000106112566e-06,1.1000000085914508e-05,3.000000106112566e-06,7.000000096013537e-06,523831,0.0,0.0
2024-04-08 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,180559,0.0,0.0
2024-04-09 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,118708,0.0,0.0
2024-04-10 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,30345,0.0,0.0
2024-04-11 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,52130,0.0,0.0
2024-04-12 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,68828,0.0,0.0
2024-04-13 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,15702,0.0,0.0
2024-04-14 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,9330,0.0,0.0
2024-04-15 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,28284,0.0,0.0
2024-04-16 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,21721,0.0,0.0
2024-04-17 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,53775,0.0,0.0
2024-04-18 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,38159,0.0,0.0
