TIMESTAMP,ARK_CLOSE_PRICE_USD,ARK_OPEN_PRICE_USD,ARK_HIGH_PRICE_USD,ARK_LOW_PRICE_USD
2017-12-08,3.8413,3.5083,4.3162,3.05
2017-12-09,3.7353,3.873,4.0952,3.3571
2017-12-10,3.3806,3.6912,3.8538,3.0897
2017-12-11,3.7333,3.3806,3.8525,3.3806
2017-12-12,4.2712,3.7667,4.5085,3.65
2017-12-13,4.3387,4.2797,4.8276,3.9286
2017-12-14,4.459,4.3468,4.7541,4.1587
2017-12-15,4.2632,4.459,4.5678,3.7586
2017-12-16,4.8654,4.2632,5.1078,4.2281
2017-12-17,5.8396,4.8846,6.5962,4.7736
2017-12-18,6.6887,5.8491,6.8113,5.6071
2017-12-19,6.3103,6.6792,7.1698,5.6949
2017-12-20,7.377,6.3017,9.0656,5.2222
2017-12-21,7.8828,7.377,9.2119,7.0746
2017-12-22,5.5526,7.8828,8.1641,4.1222
2017-12-23,6.4437,5.5461,7.1739,5.5065
2017-12-24,6.1824,6.4366,6.5972,5.1163
2017-12-25,7.0,6.2027,7.5857,5.8205
2017-12-26,7.7734,6.9726,8.553,6.9726
2017-12-27,7.3308,7.7734,7.8413,6.9203
2017-12-28,6.85,7.3077,7.6769,5.88
2017-12-29,7.7714,6.85,7.8696,6.5493
2017-12-30,6.4198,7.7714,7.7786,5.9059
2017-12-31,7.04167,6.37975,7.14084,6.2875
2018-01-01,7.54667,6.93151,7.76623,6.51316
2018-01-02,7.80147,7.54,8.40411,7.1791
2018-01-03,7.56061,7.86765,8.04478,7.02174
2018-01-04,7.10606,7.56818,7.66177,6.74648
2018-01-05,6.90678,7.10606,8.00746,6.29508
2018-01-06,7.47414,6.90678,7.75862,6.15
2018-01-07,7.9274,7.47414,8.63333,7.375
2018-01-08,7.86946,7.93125,8.5406,6.55731
2018-01-09,9.28951,7.82493,10.43204,7.8191
2018-01-10,10.12643,9.31109,10.84407,8.60036
2018-01-11,8.18259,10.1987,10.2491,7.39609
2018-01-12,8.84733,8.16958,9.05902,7.58745
2018-01-13,8.97863,8.84631,9.34205,8.55888
2018-01-14,7.98712,8.97353,8.99865,7.52524
2018-01-15,7.66143,7.96864,8.51327,7.45504
2018-01-16,5.47179,7.74817,7.74817,4.33655
2018-01-17,6.10649,5.47275,6.42926,4.16856
2018-01-18,6.25761,6.18888,6.69721,5.54539
2018-01-19,6.50935,6.24246,6.90807,5.83639
2018-01-20,7.11598,6.4802,7.3306,6.40389
2018-01-21,5.89085,7.09082,7.68061,5.64902
2018-01-22,5.3805,5.90917,6.21023,5.03269
2018-01-23,6.02638,5.39147,6.61766,5.0706
2018-01-24,6.76966,6.02246,6.76966,5.77609
2018-01-25,7.20585,6.72971,7.52109,6.62953
2018-01-26,6.74587,7.20234,7.24451,6.03814
2018-01-27,6.65821,6.72706,6.85555,6.38889
2018-01-28,6.62871,6.64984,6.82796,6.5498
2018-01-29,6.61752,6.62561,6.65328,6.0798
2018-01-30,5.4708,6.60192,6.60859,5.28002
2018-01-31,5.6404,5.47886,6.34466,5.16482
2018-02-01,4.81671,5.63982,5.68772,4.57803
2018-02-02,4.62199,4.8135,4.8135,3.86941
2018-02-03,4.97097,4.62815,5.14979,4.2962
2018-02-04,4.18436,4.97317,5.07633,3.86398
2018-02-05,3.16436,4.18093,4.26311,2.93544
2018-02-06,3.72854,3.19714,3.79781,2.53908
2018-02-07,3.4786,3.71396,3.97152,3.34
2018-02-08,3.77029,3.49602,4.04062,3.49602
2018-02-09,4.22096,3.7604,4.42925,3.61596
2018-02-10,4.02405,4.22026,4.57219,3.75173
2018-02-11,3.76491,4.0247,4.02631,3.55196
2018-02-12,4.05316,3.76921,4.15062,3.76921
2018-02-13,4.09351,4.05649,4.1494,3.86182
2018-02-14,4.44334,4.07787,4.48252,3.99919
2018-02-15,4.86599,4.43035,4.95531,4.40918
2018-02-16,4.82587,4.86504,4.8851,4.61718
2018-02-17,4.99553,4.81616,5.20582,4.77858
2018-02-18,4.52076,4.99586,5.06075,4.37886
2018-02-19,4.67194,4.52513,4.76517,4.47447
2018-02-20,4.09953,4.68985,4.7191,4.07274
2018-02-21,4.05331,4.09528,4.24551,3.87439
2018-02-22,3.717,4.04681,4.1531,3.54268
2018-02-23,3.87066,3.70943,3.96135,3.58192
2018-02-24,3.58585,3.86437,4.01911,3.44479
