TIMESTAMP,DOPAMINE_OPEN_PRICE_USD,DOPAMINE_HIGH_PRICE_USD,DOPAMINE_LOW_PRICE_USD,DOPAMINE_CLOSE_PRICE_USD,DOPAMINE_VOLUME_USD,DOPAMINE_DIVIDENDS_USD,DOPAMINE_STOCK_SPLITS_USD
2025-01-03 00:00:00+00:00,,,,0.0,358,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,725,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,119,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,297,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,594,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,2877,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,179,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,128,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,93,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,198,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,266,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,152,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,1390,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,347,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,142,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,85,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,175,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,746,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,1528,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,1597,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,1338,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,2697,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,4892,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,1247,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,98,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,44,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,70,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,1026,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,183,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,48,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,73,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,199,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,59,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,128,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,267,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,22,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,97,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,187,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,9,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,7507,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,63,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,26,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-06-01 00:00:00+00:00,1.4595100030889013e-13,1.4595100030889013e-13,1.4595055307549398e-13,1.4595055307549398e-13,2,0.0,0.0
