TIMESTAMP,HOMER28667_OPEN_PRICE_USD,HOMER28667_HIGH_PRICE_USD,HOMER28667_LOW_PRICE_USD,HOMER28667_CLOSE_PRICE_USD,HOMER28667_VOLUME_USD,HOMER28667_DIVIDENDS_USD,HOMER28667_STOCK_SPLITS_USD
2023-12-11 00:00:00+00:00,,,,0.0,45136,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,19417,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,6894,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,64914,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,168703,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,115578,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,152520,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,69141,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,64159,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,155525,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,88657,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,74269,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,29602,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,29440,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,129924,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,54014,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,51139,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,22346,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,18681,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,15690,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,11764,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,17737,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,14838,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,7361,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,9610,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,7973,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,5469,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,10470,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,3620,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,8044,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,5067,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,8479,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,17331,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,19825,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,6495,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,4813,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,2613,0.0,0.0
