TIMESTAMP,Q35255_OPEN_PRICE_USD,Q35255_HIGH_PRICE_USD,Q35255_LOW_PRICE_USD,Q35255_CLOSE_PRICE_USD,Q35255_VOLUME_USD,Q35255_DIVIDENDS_USD,Q35255_STOCK_SPLITS_USD
2025-03-07 00:00:00+00:00,,,,0.0,23581,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,22852,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,23372,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,19673,0.0,0.0
2025-03-11 00:00:00+00:00,,,,0.0,20042,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,19997,0.0,0.0
2025-03-13 00:00:00+00:00,,,,0.0,16093,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,19830,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,19086,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,20766,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,19665,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,20039,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,18633,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,19188,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,19198,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,19320,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,18583,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,18651,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,20682,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,17615,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,19434,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,19324,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,19389,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,19102,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,17916,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,17948,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,16490,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,18448,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,23970,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,22198,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,23481,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,161093,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,181980,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,167849,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,149274,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,170710,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,172424,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,210568,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,86267,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,190091,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,276493,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,318393,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,310845,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,319689,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,323429,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,333566,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,349408,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,165372,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,171956,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,171908,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,170978,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,167156,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,168177,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,167730,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,154688,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,125671,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,98058,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,117141,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,141233,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,133867,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,97958,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,68689,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,71007,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,71683,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,171819,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,180694,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,174817,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,184932,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,187868,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,186342,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,186360,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,186346,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,191743,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,192814,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,201205,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,205034,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,211011,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,203230,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,202150,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,207445,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,199733,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,196052,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,191921,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,56327,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,156169,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,178472,0.0,0.0
2025-06-01 00:00:00+00:00,5.350151965899386e-08,5.382896262062786e-08,5.3104074027032766e-08,5.377886225232942e-08,175725,0.0,0.0
