TIMESTAMP,DACAT_OPEN_PRICE_USD,DACAT_HIGH_PRICE_USD,DACAT_LOW_PRICE_USD,DACAT_CLOSE_PRICE_USD,DACAT_VOLUME_USD,DACAT_DIVIDENDS_USD,DACAT_STOCK_SPLITS_USD
2024-01-25 00:00:00+00:00,,,,0.0,184738,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,53496,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,28460,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,15769,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,12002,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,52323,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,32452,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,56483,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,30004,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,11547,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,25134,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,5533,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,6474,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,3976,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,939,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,9058,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,5301,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,48211,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,5355,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,7325,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,9386,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,41311,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,18004,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,489,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,6516,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,2562,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,7835,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,31113,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,3918,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,14878,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,5264,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,1846,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,1943,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,14648,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,8734,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,1633,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,2612,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,58051,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,204408,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,190230,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,43873,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,34583,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,37127,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,16670,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,21619,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,18807,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,49002,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,22266,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,25773,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,27697,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,22418,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,16619,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,31010,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,14872,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,4362,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,8401,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,8994,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,14857,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,6755,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,42943,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,27473,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,35056,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,8181,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,5506,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,16382,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,12602,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,4826,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,14176,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,36380,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,25306,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,3463,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,4590,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,4084,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,21158,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,8943,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,15395,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,38540,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,8407,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,37269,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,7093,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,38465,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,8586,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,29521,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,9721,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,3432,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,6855,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,881,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,7091,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,2591,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,125557,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,4084,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,3896,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,10229,0.0,0.0
