,ETH
USDT,7.211830942880526e-16
DOGE,0.00243482022976578
RLC,0.04945194124112472
XEM,0.055569144838764205
ZEN,0.07008106853998115
SC,0.07094345170983606
KMD,0.1377628223796769
GNO,0.15675040168028162
DGB,0.17776388483980302
FIRO,0.18759238379252427
QTUM,0.23332835124174814
MONA,0.2561643206713061
XWC,0.3402414046794544
BTS,0.3891392318285508
LSK,0.38989059093628164
DCR,0.43892279933316874
SYS,0.4474104102000817
MAID,0.4734565564366739
ETC,0.4835923494951156
XRP,0.48678381139500987
ANT,0.5059068655467163
BTC,0.5606600245236543
VERI,0.6289238538954617
STEEM,0.6450338849059825
ARK,0.7947733765670375
CON,0.8294319525381252
