,ETH,Lag
USDT,4.9051690802231024e-20,5
DOGE,0.0001063628118636,5
SC,0.0001204961043109,28
RLC,0.0001243040647667,27
XEM,0.0022538800935609,9
ZEN,0.0092841749136828,9
ANT,0.010456948108506,1
XWC,0.0145908936849737,25
KMD,0.0222312031665992,25
QTUM,0.0256811915680847,27
GNO,0.0260774277795716,20
DGB,0.0328320612462708,25
FIRO,0.0495465514682026,13
MONA,0.0547977848998989,30
ETC,0.0613672012610703,29
LSK,0.1123746489912783,9
BTS,0.1370580600027327,7
MAID,0.147304863554025,9
DCR,0.1886632066582632,3
STEEM,0.2098704446588974,28
VERI,0.2154703150193166,7
SYS,0.2321373031898417,7
XRP,0.239602591463401,18
BTC,0.3227700393011906,28
CON,0.3389573129748648,1
ARK,0.4646484985042782,10
