TIMESTAMP,HAWK33383_OPEN_PRICE_USD,HAWK33383_HIGH_PRICE_USD,HAWK33383_LOW_PRICE_USD,HAWK33383_CLOSE_PRICE_USD,HAWK33383_VOLUME_USD,HAWK33383_DIVIDENDS_USD,HAWK33383_STOCK_SPLITS_USD
2024-10-09 00:00:00+00:00,5.999999848427251e-05,6.0999998822808266e-05,5.999999848427251e-05,6.0999998822808266e-05,8151,0.0,0.0
2024-10-10 00:00:00+00:00,6.0999998822808266e-05,6.0999998822808266e-05,5.2999999752501026e-05,5.2999999752501026e-05,13321,0.0,0.0
2024-10-11 00:00:00+00:00,5.2999999752501026e-05,5.6000000768108293e-05,5.199999941396527e-05,5.6000000768108293e-05,9446,0.0,0.0
2024-10-12 00:00:00+00:00,5.6000000768108293e-05,5.8000001445179805e-05,5.6000000768108293e-05,5.700000110664405e-05,5375,0.0,0.0
2024-10-13 00:00:00+00:00,5.700000110664405e-05,5.900000178371556e-05,5.700000110664405e-05,5.900000178371556e-05,7111,0.0,0.0
2024-10-14 00:00:00+00:00,5.900000178371556e-05,5.900000178371556e-05,4.8999998398358e-05,4.999999873689376e-05,16059,0.0,0.0
2024-10-15 00:00:00+00:00,4.999999873689376e-05,5.500000042957254e-05,4.999999873689376e-05,5.400000009103678e-05,12486,0.0,0.0
2024-10-16 00:00:00+00:00,5.400000009103678e-05,5.500000042957254e-05,5.400000009103678e-05,5.500000042957254e-05,4776,0.0,0.0
2024-10-17 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.2999999752501026e-05,5.400000009103678e-05,3412,0.0,0.0
2024-10-18 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,4.999999873689376e-05,4.999999873689376e-05,8242,0.0,0.0
2024-10-19 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.999999873689376e-05,4.999999873689376e-05,2089,0.0,0.0
2024-10-20 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.8999998398358e-05,4.999999873689376e-05,5626,0.0,0.0
2024-10-21 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.8999998398358e-05,4.999999873689376e-05,4621,0.0,0.0
2024-10-22 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.600000102072954e-05,4.600000102072954e-05,9378,0.0,0.0
2024-10-23 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.5000000682193786e-05,4.600000102072954e-05,4984,0.0,0.0
2024-10-24 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,2769,0.0,0.0
2024-10-25 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,4.5000000682193786e-05,4.5000000682193786e-05,2152,0.0,0.0
2024-10-26 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.400000034365803e-05,4.5000000682193786e-05,3319,0.0,0.0
2024-10-27 00:00:00+00:00,4.5000000682193786e-05,4.70000013592653e-05,4.3000000005122274e-05,4.3000000005122274e-05,7574,0.0,0.0
2024-10-28 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.099999932805076e-05,4.099999932805076e-05,10775,0.0,0.0
2024-10-29 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,4.099999932805076e-05,4.3000000005122274e-05,3134,0.0,0.0
