TIMESTAMP,DOBO_OPEN_PRICE_USD,DOBO_HIGH_PRICE_USD,DOBO_LOW_PRICE_USD,DOBO_CLOSE_PRICE_USD,DOBO_VOLUME_USD,DOBO_DIVIDENDS_USD,DOBO_STOCK_SPLITS_USD
2021-10-19 00:00:00+00:00,,,,0.0,1577033,0.0,0.0
2021-10-20 00:00:00+00:00,,,,0.0,876080,0.0,0.0
2021-10-21 00:00:00+00:00,,,,0.0,663045,0.0,0.0
2021-10-22 00:00:00+00:00,,,,0.0,443298,0.0,0.0
2021-10-23 00:00:00+00:00,,,,0.0,141161,0.0,0.0
2021-10-24 00:00:00+00:00,,,,0.0,125827,0.0,0.0
2021-10-25 00:00:00+00:00,,,,0.0,127447,0.0,0.0
2021-10-26 00:00:00+00:00,,,,0.0,134218,0.0,0.0
2021-10-27 00:00:00+00:00,,,,0.0,586418,0.0,0.0
2021-10-28 00:00:00+00:00,,,,0.0,1075245,0.0,0.0
2021-10-29 00:00:00+00:00,,,,0.0,2880495,0.0,0.0
2021-10-30 00:00:00+00:00,,,,0.0,4251367,0.0,0.0
2021-10-31 00:00:00+00:00,,,,0.0,6349325,0.0,0.0
2021-11-01 00:00:00+00:00,,,,0.0,5883477,0.0,0.0
2021-11-02 00:00:00+00:00,,,,0.0,4103838,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,4394197,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,2946131,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,2492321,0.0,0.0
2021-11-06 00:00:00+00:00,,,,0.0,1818354,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,2559017,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,6319867,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,6632238,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,3184262,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,1809583,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,1140054,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,1412307,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,2488909,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,6822223,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,6807248,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,2999559,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,2246767,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,3214550,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,7273952,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,7617235,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,6338933,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,6179379,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,2004992,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,1756129,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,4895281,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,4143153,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,5774383,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,7147824,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,2829816,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,3574659,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,4440279,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,2213964,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,2231721,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,1816447,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,1597362,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,829122,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,695340,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,767349,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,529033,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,334191,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,546923,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,1714789,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,1814850,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,531525,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,251724,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,606702,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,1506131,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,1715256,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,999688,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,491955,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,513817,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,465698,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,321836,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,269924,0.0,0.0
2021-12-27 00:00:00+00:00,,,,0.0,309660,0.0,0.0
2021-12-28 00:00:00+00:00,,,,0.0,684014,0.0,0.0
2021-12-29 00:00:00+00:00,,,,0.0,684289,0.0,0.0
2021-12-30 00:00:00+00:00,,,,0.0,431760,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,279090,0.0,0.0
