,ETH
LTC,0.7805291889042926
BTC,0.7771248280525315
ETC,0.7252800312015888
ZEC,0.6901935853141352
GNO,0.6888017948397391
QTUM,0.6782269100823124
DASH,0.677440239906375
XMR,0.6657915420890662
BAT,0.6613697528680824
JLP,0.648079355477847
NEWB,0.6252767709413227
DCR,0.6196606918365825
LSK,0.613616749059367
DGB,0.6127257499130812
XLM,0.5958408319439757
SC,0.590608947278793
XRP,0.5838070953743202
SP,0.5772936272175548
ZEN,0.576708148156948
TES,0.570696232900193
WAVES,0.5679473410290963
ARK,0.5623869947472915
IOTA,0.5620290161108291
RLC,0.5605544086523109
STEEM,0.5537436065752074
KMD,0.5468554005182563
BTS,0.5441460026182827
XEM,0.534133893388628
AE,0.5295262324001936
GAS,0.5289282109779333
FIRO,0.5190422471525014
PIVX,0.5110669106265638
SYS,0.5012041542418363
EQB,0.4684745970619839
AMBER,0.4492419874659124
BTCS,0.4441610644722988
NAV,0.4372787866809488
PPC,0.4184054172441843
CYT,0.4183458111468671
MONA,0.4161176727395666
LAMB,0.4040443345325171
ANT,0.3988248604246171
GRS,0.3930334405930383
NXS,0.387239941703121
NOBL,0.3781982716090599
VAL,0.3776846564750371
WGR,0.3731828818419396
VTC,0.3723302420416444
JKC,0.3546650967440601
GBYTE,0.3507263212326036
MAID,0.3462504571616002
NMC,0.3318807400779513
PKB,0.3219344188597715
LUNC,0.3151194456979061
BLK,0.3148815039242955
DOGE,0.3147823473883441
LBC,0.3123884232527583
CETI,0.3123508137504684
XMS,0.3120221045664946
VERI,0.3085734686755893
KIN,0.3044640540080293
2GIVE,0.303535869524728
XPX,0.3031569674493938
SWING,0.300388478265868
FTC,0.2956709352207772
PLU,0.280846992586033
AV,0.2694835716161936
ZCL,0.2560719381362029
AGRS,0.2537521123460532
SKULL,0.2533802520076563
COOL,0.2505973666920057
EVIL,0.2490806199597375
XDN,0.2452516527789207
POST,0.2433610175474685
C2,0.2416564017352864
AXIOM,0.2390678542877625
CJ,0.2359456124821538
SNRG,0.2350582229744015
SPR,0.233020459126194
SKR,0.2328047160329345
FOREX,0.2322336386811712
PXI,0.2294287840747746
WINGS,0.229354581964271
42,0.2272224495327746
WYZ,0.226622534971548
TECH,0.2218235622929096
ZET,0.2146408527286254
XHI,0.2137798102275863
ADZ,0.2096924073881015
CRW,0.2093515493497518
XCP,0.2020366659183997
BERN,0.1996365542002376
EDRC,0.1984787887592568
GLC,0.1970489990160608
HBD,0.1948687820529726
ZENI,0.1921682821845801
BCDN,0.1921540397671029
VEC2,0.1885891310808635
WBB,0.1883148278920443
LUN,0.1880535888679757
HBN,0.1846767818199284
XQN,0.1846596140497476
IMS,0.1828707742010397
CF,0.1824421587755142
OPAL,0.1790611638003584
ENT,0.1738355221350686
EUC,0.1734608979406239
XPY,0.173316608458554
XTO,0.1720388960241382
ZYD,0.1687134227940761
ACOIN,0.1654200689722591
VLT,0.1623883193576381
CLUB,0.1623159703194602
CAB,0.1595686355507384
FRN,0.1562824213638905
IBANK,0.1555186884038546
CREVA,0.1543742819561238
XBC,0.1488501752962332
AMS,0.1483844143406493
XPM,0.1456923000608245
PXC,0.1450830772061521
DCY,0.1406568841343178
RBY,0.1405972593260812
SIGNA,0.1375720635073035
KOBO,0.137029938995785
VIDZ,0.1367913188565109
BLU,0.1310707649230293
CSC,0.1306858431293255
BCN,0.130353280806016
START,0.1292173081362033
SANDG,0.1267055220718785
HMQ,0.1252056991795855
RBT,0.1250038933022015
PTOY,0.123815136060271
LKY,0.1233066817184688
MOTO,0.1212132203936789
LANA,0.1211889901629005
CANN,0.1200025704718201
LTCR,0.1181152643994811
DEM,0.1154927743401744
TAJ,0.1145424471161582
MST,0.1134499462723966
PZM,0.1104378507377428
BSTY,0.1099116747449205
DGC,0.1094009957153413
NVC,0.1069949285921928
PUT,0.1038728234808775
RBIES,0.1027802282186864
ILC,0.1011007583207323
QBC,0.1002372018220105
QTZ,0.098405379341428
DIME,0.0953626577277146
DCT,0.0930667303942208
LDOGE,0.0907056296818785
ARGUS,0.0887964635342799
XPTX,0.0878832412513204
CLAM,0.0876764986436779
GCC,0.0868888345931034
CLOAK,0.0865464357287921
HVCO,0.0861455640293902
ICOB,0.0855183051962477
XWC,0.0853178279487104
TRST,0.0838002269979323
HUSH,0.0837997298995107
SXC,0.0829673429779458
ICON,0.0826885954279817
SWT,0.0773512433461034
LOG,0.0766385730542033
MAY,0.0755268602705912
HNC,0.0745704599116627
BLAZR,0.0732927052743485
ZOOM,0.0718454158178503
SIB,0.068772240484269
UNIT,0.0672948350129925
ZER,0.0659998131302095
MCN,0.0619303636165404
MNTC,0.0607842053198547
PHR,0.0586963314163323
IXC,0.0564058807722444
RRT,0.0556500064967285
PAK,0.053529957107917
IRL,0.0529246297199575
PIE,0.0528121766175349
IFC,0.0518183950180881
SILK,0.0515026129906225
BOLI,0.0495885944419509
TAB,0.0482726826258669
OZO,0.0478141441178327
KURT,0.0448641577047442
OK,0.0403011328082849
POT,0.0395634151027262
BITS,0.039306253397482
SWIFT,0.0389337901213073
BTB,0.0387347203666219
ADC,0.0354607832369752
FRC,0.0344472971527244
ALIAS,0.034348859483283
XST,0.0311166038653487
SLS,0.0305866861517998
CNT,0.0281984594529243
NXT,0.0271443677092607
ZUR,0.0241591635196596
PASC,0.0240392883910254
NETKO,0.0223459227979683
SONG,0.0187729617140872
XBY,0.0166646907040343
CKC,0.0140224715015893
EFL,0.011714566500633
BRIT,0.0106572947088754
BIS,0.0100417923315196
SHND,0.0097406451498916
ACES,0.0074698069221043
NEVA,0.0057946719215697
CARBON,0.0045287893817791
USDT,0.0024318471803357
LOOK,0.0020313472876687
LMC,0.0010734516805551
RDD,-0.0068315556374656
INF,-0.0088966303922518
NYC,-0.0141934529993709
WDC,-0.0146113187981491
BTA,-0.0194387087665978
BS,-0.0289590736357078
WC,-0.0664114454939483
NEOS,-0.99479128748483
BOSS,
CAM,
CDN,
CYG,
DOGED,
ETT,
IMPACT,
MARI,
MARV,
NKT,
PX,
RCX,
SLING,
UR,
USC,
VDO,
VMC,
