,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
BTC Opening Price ($),5247.0,19301.632706308363,9687.06,17685.255580761157,3148.0,3460.3644,3858.239,4443.198,6981.355,9687.06,34735.64,48289.896,56414.147999999994,62225.852399999996,68348.63
BTC High Price ($),5247.0,19623.05802363255,9810.0,17969.541912557557,3238.92,3488.552,3903.893,4582.304,7125.665,9810.0,35710.44,49000.93000000001,57373.13,63125.076799999995,69000.0
BTC Low Price ($),5247.0,18940.404806556126,9525.0,17365.83155554857,2817.0,3419.1734,3795.54,4342.206,6841.485000000001,9525.0,33951.240000000005,47383.864,55451.531,61322.5224,67015.2
BTC Close Price ($),5247.0,19306.881336001527,9687.88,17684.877704684426,3148.0,3460.3644,3858.239,4458.51,6983.139999999999,9687.88,34735.64,48289.896,56414.147999999994,62225.852399999996,68348.63
