TIMESTAMP,NIKO_OPEN_PRICE_USD,NIKO_HIGH_PRICE_USD,NIKO_LOW_PRICE_USD,NIKO_CLOSE_PRICE_USD,NIKO_VOLUME_USD,NIKO_DIVIDENDS_USD,NIKO_STOCK_SPLITS_USD
2024-11-12 00:00:00+00:00,0.049786001443862915,0.06247600167989731,0.04775900021195412,0.052032001316547394,2429992,0.0,0.0
2024-11-13 00:00:00+00:00,0.05247199907898903,0.12013500183820724,0.045538000762462616,0.11215300112962723,23462823,0.0,0.0
2024-11-14 00:00:00+00:00,0.11215300112962723,0.15063700079917908,0.10741399973630905,0.12995900213718414,35080893,0.0,0.0
2024-11-15 00:00:00+00:00,0.12995900213718414,0.18174800276756287,0.10043299943208694,0.15853899717330933,21161172,0.0,0.0
2024-11-16 00:00:00+00:00,0.17360399663448334,0.17647400498390198,0.1502700001001358,0.16041600704193115,35472116,0.0,0.0
2024-11-17 00:00:00+00:00,0.16041600704193115,0.1635800004005432,0.1260180026292801,0.12903200089931488,35777869,0.0,0.0
2024-11-18 00:00:00+00:00,0.12903200089931488,0.14846299588680267,0.11998900026082993,0.13838699460029602,13603264,0.0,0.0
2024-11-19 00:00:00+00:00,0.13824599981307983,0.14598000049591064,0.10222899913787842,0.10610199719667435,9726548,0.0,0.0
2024-11-20 00:00:00+00:00,0.10610199719667435,0.10962700098752975,0.08271100372076035,0.08426599949598312,11541725,0.0,0.0
2024-11-21 00:00:00+00:00,0.08426599949598312,0.131414994597435,0.07671800255775452,0.1183599978685379,15330349,0.0,0.0
2024-11-22 00:00:00+00:00,0.1183599978685379,0.12151099741458893,0.08389700204133987,0.09156499803066254,13094475,0.0,0.0
2024-11-23 00:00:00+00:00,0.09156499803066254,0.11674900352954865,0.08447600156068802,0.09342499822378159,10596958,0.0,0.0
2024-11-24 00:00:00+00:00,0.09342499822378159,0.10190899670124054,0.07670500129461288,0.08413899689912796,9185196,0.0,0.0
2024-11-25 00:00:00+00:00,0.08413399755954742,0.09011700004339218,0.06801500171422958,0.06900700181722641,8294336,0.0,0.0
2024-11-26 00:00:00+00:00,0.06908900290727615,0.07484699785709381,0.032437000423669815,0.039292000234127045,6975650,0.0,0.0
2024-11-27 00:00:00+00:00,0.03928900137543678,0.04046500101685524,0.02583100087940693,0.025832999497652054,1619374,0.0,0.0
2024-11-28 00:00:00+00:00,0.025832999497652054,0.028505999594926834,0.017712000757455826,0.017846999689936638,1071539,0.0,0.0
2024-11-29 00:00:00+00:00,0.017852000892162323,0.023354999721050262,0.015745999291539192,0.022128000855445862,1547984,0.0,0.0
2024-11-30 00:00:00+00:00,0.022071000188589096,0.022071000188589096,0.016421999782323837,0.020036999136209488,2620504,0.0,0.0
2024-12-01 00:00:00+00:00,0.02002899907529354,0.025304000824689865,0.019347000867128372,0.02030700072646141,1903205,0.0,0.0
2024-12-02 00:00:00+00:00,0.02030700072646141,0.02249700017273426,0.018035000190138817,0.018286999315023422,1548436,0.0,0.0
