,params_Conv_input_activation,params_Dense_activation_l1,params_Dense_activation_l2,params_Dense_activation_l3,params_Dense_dim_l1,params_Dense_dim_l2,params_Dense_dim_l3,params_Dense_n_layers,params_MSR_Block_Conv1d_out_channels,params_MSR_Block_Conv2d_out_channels,params_MSR_Block_activation,params_MSR_Block_cross_channel_fusion,params_MSR_Block_scales,params_MSR_Conv1d_activation,params_RNN_activation,params_RNN_dim_l1,params_RNN_dim_l2,params_RNN_dim_l3,params_RNN_n_layers,params_TRAIN_batch_size,params_TRAIN_learning_rate,params_TRAIN_momentum,params_TRAIN_n_epochs,params_TRAIN_optimizer,params_TRAIN_weight_decay,user_attrs_mean_train_mae,user_attrs_mean_train_mse,user_attrs_mean_val_mae,user_attrs_mean_val_mse,user_attrs_median_train_mae,user_attrs_median_train_mse,user_attrs_median_val_mae,user_attrs_median_val_mse,Mean_Train_MSE,Median_Train_MSE,Mean_Train_MAE,Median_Train_MAE,Mean_Val_MSE,Median_Val_MSE,Mean_Val_MAE,Median_Val_MAE
0,relu,selu,tanh,linear,208,256,128,1,12,108,selu,True,"[7, 11, 13, 15]",tanh,relu,448,256,272,3,80,0.0004609292586999158,0.905988995946643,102,SGD,0.0001,0.030676361932724275,0.0034788419860084813,0.20702844347713242,0.09499619723167861,0.029801823800226585,0.0032115819778927657,0.22657574963839894,0.10604262260801425,0.0034788419860084813,0.0032115819778927657,0.030676361932724275,0.029801823800226585,0.09499619723167861,0.10604262260801425,0.20702844347713242,0.22657574963839894
1,elu,linear,elu,relu,128,224,112,3,56,68,tanh,True,"[5, 7, 9, 12, 14]",linear,gelu,384,208,32,3,88,0.000508788023674658,0.8556514826971904,94,Adamax,0.0,0.03363694228933822,0.0036307475095671542,0.20627744519432745,0.09499940968653271,0.03203383191379244,0.003295485646916527,0.2250735355925991,0.10578134554845403,0.0036307475095671542,0.003295485646916527,0.03363694228933822,0.03203383191379244,0.09499940968653271,0.10578134554845403,0.20627744519432745,0.2250735355925991
2,relu,elu,elu,leaky_relu,192,144,16,3,36,16,tanh,True,"[7, 11, 15]",relu,tanh,432,240,496,3,216,3.872817372331816e-05,0.8062529381756784,138,Adam,1e-05,0.030783510725842136,0.0034834962599695255,0.2068485396766394,0.09501220595282635,0.029831891276583127,0.003213143590259684,0.2266497823763272,0.1061073047451881,0.0034834962599695255,0.003213143590259684,0.030783510725842136,0.029831891276583127,0.09501220595282635,0.1061073047451881,0.2068485396766394,0.2266497823763272
3,tanh,gelu,sigmoid,tanh,32,16,192,2,44,72,relu,False,"[1, 2, 3]",selu,relu,448,464,64,3,32,0.0023843882340638515,0.931515285570198,168,Adamax,0.0001,0.03143206034742283,0.0035214069811795212,0.20653774375493658,0.09502988815111013,0.030483940278660974,0.0032344662231658635,0.22605530297906204,0.10594255962024662,0.0035214069811795212,0.0032344662231658635,0.03143206034742283,0.030483940278660974,0.09502988815111013,0.10594255962024662,0.20653774375493658,0.22605530297906204
4,sigmoid,gelu,linear,sigmoid,32,32,32,1,52,72,elu,False,"[1, 2, 4]",elu,relu,336,320,496,2,152,9.230089172969445e-05,0.8561425300846276,156,Adagrad,0.0001,0.030743043933338713,0.0034824939436198074,0.20704012146461895,0.09504265436393178,0.0298525962050607,0.0032134493992947003,0.22660008625072592,0.1060888122350147,0.0034824939436198074,0.0032134493992947003,0.030743043933338713,0.0298525962050607,0.09504265436393178,0.1060888122350147,0.20704012146461895,0.22660008625072592
5,tanh,sigmoid,relu,elu,128,112,96,2,16,116,gelu,True,"[2, 5, 7, 14]",leaky_relu,selu,336,160,352,2,168,1.6927171775964637e-05,0.9876410405354314,136,NAdam,0.0,0.0306404467426019,0.0034793564609488393,0.20715918677007794,0.09505675206504172,0.029810675133580176,0.0032132856804841245,0.2268448298728741,0.10613881084659854,0.0034793564609488393,0.0032132856804841245,0.0306404467426019,0.029810675133580176,0.09505675206504172,0.10613881084659854,0.20715918677007794,0.2268448298728741
6,leaky_relu,selu,leaky_relu,elu,176,144,208,1,28,96,selu,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",gelu,gelu,384,112,336,3,160,0.00048021558733055467,0.9708488488143572,200,Adamax,0.001,0.03179562789744411,0.0035523032847514405,0.20721396721082283,0.09506057361140573,0.030297064344295903,0.0032222601405876815,0.2267217651005095,0.10612437175600771,0.0035523032847514405,0.0032222601405876815,0.03179562789744411,0.030297064344295903,0.09506057361140573,0.10612437175600771,0.20721396721082283,0.2267217651005095
7,sigmoid,relu,gelu,leaky_relu,256,96,176,3,16,92,relu,True,"[1, 4, 7, 11, 14]",linear,selu,352,16,112,2,200,0.0025600855391642303,0.9081230622990915,160,Adam,1e-05,0.0325991570421829,0.003601161312126892,0.20755415025952575,0.09515248705018232,0.031445261720719805,0.003304573198570024,0.22719995309220653,0.10625376412900764,0.003601161312126892,0.003304573198570024,0.0325991570421829,0.031445261720719805,0.09515248705018232,0.10625376412900764,0.20755415025952575,0.22719995309220653
8,leaky_relu,tanh,elu,leaky_relu,64,240,32,3,40,32,elu,True,"[1, 4, 7, 11, 14]",elu,elu,272,32,400,3,224,0.001023122870936467,0.9740157197991244,152,NAdam,0.0,0.03337069022701828,0.0036198138412681068,0.20720917135474592,0.09526441004135851,0.03393215953947326,0.0034165808499242727,0.22622130648258576,0.1059649209266542,0.0036198138412681068,0.0034165808499242727,0.03337069022701828,0.03393215953947326,0.09526441004135851,0.1059649209266542,0.20720917135474592,0.22622130648258576
9,sigmoid,selu,sigmoid,sigmoid,192,80,32,3,32,92,tanh,True,"[1, 2, 3]",sigmoid,tanh,304,240,240,3,32,0.00012287603457904997,0.8667445636223138,78,Adadelta,0.0,0.34457091742931456,0.17752829316982774,0.4312026245309366,0.2775946424186398,0.3760100552069727,0.146078688444438,0.4295786137629814,0.24561316211397588,0.17752829316982774,0.146078688444438,0.34457091742931456,0.3760100552069727,0.2775946424186398,0.24561316211397588,0.4312026245309366,0.4295786137629814
