TIMESTAMP,BABYPEIPEI_OPEN_PRICE_USD,BABYPEIPEI_HIGH_PRICE_USD,BABYPEIPEI_LOW_PRICE_USD,BABYPEIPEI_CLOSE_PRICE_USD,BABYPEIPEI_VOLUME_USD,BABYPEIPEI_DIVIDENDS_USD,BABYPEIPEI_STOCK_SPLITS_USD
2024-07-23 00:00:00+00:00,,,,0.0,173161,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,37849,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,63639,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,21748,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,7502,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,5734,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,49562,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,21877,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,9597,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,8199,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,1851,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,7186,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,2161,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,1036,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,440,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,338,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,2563,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,563,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,293,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,383,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,877,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,229,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,625,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,822,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,362,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,381,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,256,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,121,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,1767,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,1080,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,577,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,882,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,175,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,388,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,31,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,36,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,52,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,870,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,225,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,220,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,295,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,40,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,207,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,7,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,82,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,69,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-09-10 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-09-11 00:00:00+00:00,,,,0.0,418,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-09-13 00:00:00+00:00,,,,0.0,220,0.0,0.0
