,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
LTC Opening Price ($),32586.0,95.3484530166329,78.21,53.674239462451034,22.8,30.6785,41.78,46.13,59.44,78.21,115.41,174.5,205.6,279.3165000000002,408.93
LTC High Price ($),32586.0,96.43593475725771,79.06,54.720747895952435,22.92,30.98,42.04,46.48,59.9825,79.06,116.92750000000001,176.97,208.5875,286.0,413.49
LTC Low Price ($),32586.0,94.17314276069479,77.42,52.53348878061732,22.32,30.3285,41.442499999999995,45.73,58.85,77.42,113.91,171.935,202.1475,273.54700000000025,397.32
LTC Close Price ($),32586.0,95.3429681458295,78.21,53.665318517051816,22.8,30.6785,41.78,46.13,59.44,78.21,115.4075,174.495,205.6,279.3165000000002,408.93
