TIMESTAMP,XEM_OPEN_PRICE_USDT,XEM_HIGH_PRICE_USDT,XEM_LOW_PRICE_USDT,XEM_CLOSE_PRICE_USDT,XEM_FIRST_TRADE_PRICE_USDT,XEM_HIGH_TRADE_PRICE_USDT,XEM_LOW_TRADE_PRICE_USDT,XEM_LAST_TRADE_PRICE_USDT,XEM_TOTAL_TRADE_COUNT,XEM_TOTAL_TRADES_BUY,XEM_TOTAL_TRADES_SELL,XEM_VOLUME_USDT,XEM_QUOTE_VOLUME,XEM_VOLUME_BUY,XEM_QUOTE_VOLUME_BUY,XEM_VOLUME_SELL,XEM_QUOTE_VOLUME_SELL
2020-11-24,0.1437,0.2,0.1437,0.1657,0.1437,0.2,0.1437,0.1657,4125,1934,2191,5208144.17,839275.961987,2102569.31,340080.925556,3105574.86,499195.036431
2020-11-25,0.1657,0.2172,0.15,0.1831,0.1657,0.2172,0.15,0.1831,34867,17714,17153,44821189.96,8523191.68797,22674155.53,4330634.261092,22147034.43,4192557.426878
2020-11-26,0.1831,0.2,0.1419,0.159,0.1826,0.2,0.1419,0.159,27566,14717,12849,26948261.94,4461310.682617,13065455.77,2165059.8034,13882806.17,2296250.879217
2020-11-27,0.159,0.1745,0.1516,0.1745,0.159,0.1745,0.1516,0.1745,10394,5030,5364,9945357.77,1624072.597348,4185662.32,684084.656825,5759695.45,939987.940523
2020-11-28,0.1745,0.1909,0.1701,0.1818,0.1736,0.1909,0.1701,0.1818,21213,10976,10237,21958145.62,4020218.826872,9428402.12,1730095.145755,12529743.5,2290123.681117
2020-11-29,0.1818,0.187,0.169,0.1787,0.1807,0.187,0.169,0.1787,9276,4805,4471,9924137.05,1744513.632319,4724037.33,831840.290267,5200099.72,912673.342052
2020-11-30,0.1787,0.191,0.1709,0.1892,0.1787,0.191,0.1709,0.1892,10326,5263,5063,9052585.35,1640363.623231,4339980.86,789444.949773,4712604.49,850918.673458
2020-12-01,0.1892,0.1971,0.17,0.1899,0.1891,0.1971,0.17,0.1899,14618,7458,7160,11195553.75,2096889.276299,5699164.69,1070376.106214,5496389.06,1026513.170085
2020-12-02,0.1899,0.208,0.1834,0.2014,0.1895,0.208,0.1834,0.2014,10632,5377,5255,9352293.12,1809952.153636,4558563.99,885884.718509,4793729.13,924067.435127
2020-12-03,0.2014,0.222,0.1995,0.2188,0.2017,0.222,0.1995,0.2188,17361,8845,8516,18233298.33,3841896.085539,9632601.86,2033332.404601,8600696.47,1808563.680938
2020-12-04,0.2188,0.2727,0.2131,0.2418,0.2188,0.2727,0.2131,0.2418,84748,41800,42948,105517353.7,26128709.209394,51236218.18,12705238.236884,54281135.52,13423470.97251
