TIMESTAMP,CYBONK_OPEN_PRICE_USD,CYBONK_HIGH_PRICE_USD,CYBONK_LOW_PRICE_USD,CYBONK_CLOSE_PRICE_USD,CYBONK_VOLUME_USD,CYBONK_DIVIDENDS_USD,CYBONK_STOCK_SPLITS_USD
2024-03-06 00:00:00+00:00,2.300000051036477e-05,5.500000042957254e-05,1.9999999494757503e-05,4.5000000682193786e-05,184657,0.0,0.0
2024-03-07 00:00:00+00:00,4.5000000682193786e-05,7.599999662488699e-05,2.8000000384054147e-05,4.199999966658652e-05,795370,0.0,0.0
2024-03-08 00:00:00+00:00,4.199999966658652e-05,6.299999949987978e-05,2.8000000384054147e-05,4.099999932805076e-05,5147199,0.0,0.0
2024-03-09 00:00:00+00:00,4.099999932805076e-05,8.600000001024455e-05,3.300000025774352e-05,3.7999998312443495e-05,8620908,0.0,0.0
2024-03-10 00:00:00+00:00,3.7999998312443495e-05,5.199999941396527e-05,3.199999991920777e-05,3.7999998312443495e-05,6047410,0.0,0.0
2024-03-11 00:00:00+00:00,3.7999998312443495e-05,5.199999941396527e-05,2.9000000722589903e-05,3.9999998989515007e-05,1195704,0.0,0.0
2024-03-12 00:00:00+00:00,3.9999998989515007e-05,4.5000000682193786e-05,2.700000004551839e-05,3.099999958067201e-05,656270,0.0,0.0
2024-03-13 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,1.4999999621068127e-05,2.8000000384054147e-05,295130,0.0,0.0
2024-03-14 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.099999983329326e-05,2.300000051036477e-05,346901,0.0,0.0
2024-03-15 00:00:00+00:00,2.300000051036477e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.4000000848900527e-05,329877,0.0,0.0
2024-03-16 00:00:00+00:00,2.4000000848900527e-05,3.7999998312443495e-05,2.2000000171829015e-05,3.600000127335079e-05,4527881,0.0,0.0
2024-03-17 00:00:00+00:00,3.600000127335079e-05,8.800000068731606e-05,3.099999958067201e-05,4.600000102072954e-05,9445497,0.0,0.0
