TIMESTAMP,WKD_OPEN_PRICE_USD,WKD_HIGH_PRICE_USD,WKD_LOW_PRICE_USD,WKD_CLOSE_PRICE_USD,WKD_VOLUME_USD,WKD_DIVIDENDS_USD,WKD_STOCK_SPLITS_USD
2021-11-10 00:00:00+00:00,,,,0.0,9652001,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,59783288,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,79984204,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,46774611,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,20997274,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,12830907,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,14475321,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,10765709,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,7504972,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,7703799,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,4150619,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,2187606,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,2097673,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,1886274,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,978330,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,800560,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,1891148,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,1462308,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,811762,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,632052,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,669200,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,981421,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,4991380,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,7331150,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,3905057,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,2765938,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,4008443,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,4778467,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,4486503,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,1711278,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,953823,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,776668,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,343168,0.0,0.0
