TIMESTAMP,NYANTE_OPEN_PRICE_USD,NYANTE_HIGH_PRICE_USD,NYANTE_LOW_PRICE_USD,NYANTE_CLOSE_PRICE_USD,NYANTE_VOLUME_USD,NYANTE_DIVIDENDS_USD,NYANTE_STOCK_SPLITS_USD
2024-04-11 00:00:00+00:00,,,,0.0,45,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-05-31 00:00:00+00:00,3.620386976321832e-12,3.620386976321832e-12,3.6203867594813977e-12,3.6203867594813977e-12,4,0.0,0.0
