TIMESTAMP,DOGEMARS35594_OPEN_PRICE_USD,DOGEMARS35594_HIGH_PRICE_USD,DOGEMARS35594_LOW_PRICE_USD,DOGEMARS35594_CLOSE_PRICE_USD,DOGEMARS35594_VOLUME_USD,DOGEMARS35594_DIVIDENDS_USD,DOGEMARS35594_STOCK_SPLITS_USD
2025-03-21 00:00:00+00:00,,,,0.0,1095,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,368,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,346,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,433,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,322,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,240,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,5656,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,2375,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,4658,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,62,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,556,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,204,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,908,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,401,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,116,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,1601,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,1518,0.0,0.0
2025-06-01 00:00:00+00:00,1.0920000255605633e-13,1.1395000069393257e-13,1.047149969816627e-13,1.1394990582624248e-13,60,0.0,0.0
