TIMESTAMP,SATO36386_OPEN_PRICE_USD,SATO36386_HIGH_PRICE_USD,SATO36386_LOW_PRICE_USD,SATO36386_CLOSE_PRICE_USD,SATO36386_VOLUME_USD,SATO36386_DIVIDENDS_USD,SATO36386_STOCK_SPLITS_USD
2025-05-01 00:00:00+00:00,3.999999989900971e-06,9.999999747378752e-06,3.999999989900971e-06,7.999999979801942e-06,676512,0.0,0.0
2025-05-02 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,716802,0.0,0.0
2025-05-03 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,6.000000212225132e-06,9.000000318337698e-06,553806,0.0,0.0
2025-05-04 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,340203,0.0,0.0
2025-05-05 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,263899,0.0,0.0
2025-05-06 00:00:00+00:00,9.999999747378752e-06,1.4000000192027073e-05,9.000000318337698e-06,1.4000000192027073e-05,517345,0.0,0.0
2025-05-07 00:00:00+00:00,1.4000000192027073e-05,1.8999999156221747e-05,7.000000096013537e-06,7.999999979801942e-06,1310825,0.0,0.0
2025-05-08 00:00:00+00:00,7.999999979801942e-06,1.4000000192027073e-05,7.000000096013537e-06,9.000000318337698e-06,1018249,0.0,0.0
2025-05-09 00:00:00+00:00,9.000000318337698e-06,1.4000000192027073e-05,7.999999979801942e-06,1.1000000085914508e-05,607424,0.0,0.0
2025-05-10 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,7.999999979801942e-06,9.999999747378752e-06,695674,0.0,0.0
2025-05-11 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,4.999999873689376e-06,6.000000212225132e-06,772328,0.0,0.0
2025-05-12 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,459819,0.0,0.0
2025-05-13 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,593306,0.0,0.0
2025-05-14 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,293362,0.0,0.0
2025-05-15 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,259033,0.0,0.0
2025-05-16 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,267028,0.0,0.0
2025-05-17 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,113329,0.0,0.0
2025-05-18 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,244395,0.0,0.0
2025-05-19 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,129684,0.0,0.0
2025-05-20 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,355897,0.0,0.0
2025-05-21 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,307360,0.0,0.0
2025-05-22 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,334104,0.0,0.0
2025-05-23 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,431412,0.0,0.0
2025-05-24 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,173338,0.0,0.0
2025-05-25 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,185194,0.0,0.0
2025-05-26 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,170122,0.0,0.0
2025-05-27 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,197729,0.0,0.0
2025-05-28 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,439825,0.0,0.0
2025-05-29 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,291067,0.0,0.0
2025-05-30 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,386219,0.0,0.0
2025-05-31 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,394641,0.0,0.0
2025-06-01 00:00:00+00:00,5.9082390180265065e-06,7.342010576394387e-06,4.936477125738747e-06,5.622583103104262e-06,431403,0.0,0.0
