TIMESTAMP,CORGIB_OPEN_PRICE_USD,CORGIB_HIGH_PRICE_USD,CORGIB_LOW_PRICE_USD,CORGIB_CLOSE_PRICE_USD,CORGIB_VOLUME_USD,CORGIB_DIVIDENDS_USD,CORGIB_STOCK_SPLITS_USD
2021-06-03 00:00:00+00:00,,,,0.0,1444821,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,1283946,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,599727,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,524989,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,414227,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,299934,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,370788,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,243117,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,212011,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,187645,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,130010,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,38678,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,101975,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,92238,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,70607,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,53621,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,45002,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,34056,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,29467,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,18344,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,17596,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,30397,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,45800,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,10790,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,6665,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,16473,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,16402,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,9655,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,11077,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,7808,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,6529,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,9128,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,12537,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,11912,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,6348,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,7640,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,9572,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,12716,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,11264,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,6766,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,7409,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,7236,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,14308,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,13870,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,41539,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,55057,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,38054,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,31675,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,12897,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,9563,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,41826,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,45338,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,15387,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,14714,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,48260,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,49654,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,18845,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,64199,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,64117,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,16177,0.0,0.0
2021-08-03 00:00:00+00:00,,,,0.0,9420,0.0,0.0
2021-08-04 00:00:00+00:00,,,,0.0,19930,0.0,0.0
2021-08-05 00:00:00+00:00,,,,0.0,21013,0.0,0.0
2021-08-06 00:00:00+00:00,,,,0.0,10105,0.0,0.0
