TIMESTAMP,BOSSCOQ_OPEN_PRICE_USD,BOSSCOQ_HIGH_PRICE_USD,BOSSCOQ_LOW_PRICE_USD,BOSSCOQ_CLOSE_PRICE_USD,BOSSCOQ_VOLUME_USD,BOSSCOQ_DIVIDENDS_USD,BOSSCOQ_STOCK_SPLITS_USD
2024-06-26 00:00:00+00:00,0.0002460000105202198,0.000446999998530373,0.0002119999990100041,0.00039500001003034413,453558,0.0,0.0
2024-06-27 00:00:00+00:00,0.00039500001003034413,0.0005380000220611691,0.00029600001289509237,0.00037200000951997936,464204,0.0,0.0
2024-06-28 00:00:00+00:00,0.00037200000951997936,0.00040600000647827983,0.00034699999378062785,0.0003910000086762011,313446,0.0,0.0
2024-06-29 00:00:00+00:00,0.0003910000086762011,0.0004140000091865659,0.00030399998649954796,0.000371000001905486,362527,0.0,0.0
2024-06-30 00:00:00+00:00,0.000371000001905486,0.000371000001905486,0.0003060000017285347,0.00036899998667649925,297912,0.0,0.0
2024-07-01 00:00:00+00:00,0.00036899998667649925,0.00037399999564513564,0.00018400000408291817,0.00020599999697878957,69707,0.0,0.0
2024-07-02 00:00:00+00:00,0.00020599999697878957,0.0002209999947808683,0.00016799999866634607,0.0001880000054370612,39410,0.0,0.0
2024-07-03 00:00:00+00:00,0.0001880000054370612,0.0001900000061141327,0.00011500000255182385,0.00011500000255182385,33007,0.0,0.0
2024-07-04 00:00:00+00:00,0.00011500000255182385,0.00017600000137463212,0.00010900000052060932,0.00017600000137463212,40892,0.0,0.0
2024-07-05 00:00:00+00:00,0.00017600000137463212,0.00017600000137463212,8.499999967170879e-05,8.70000003487803e-05,51154,0.0,0.0
2024-07-06 00:00:00+00:00,8.70000003487803e-05,0.00011300000187475234,8.600000001024455e-05,9.200000204145908e-05,14234,0.0,0.0
2024-07-07 00:00:00+00:00,9.200000204145908e-05,0.00010099999781232327,8.099999831756577e-05,9.000000136438757e-05,20238,0.0,0.0
2024-07-08 00:00:00+00:00,9.000000136438757e-05,0.00012599999899975955,8.600000001024455e-05,0.00011600000289035961,12772,0.0,0.0
2024-07-09 00:00:00+00:00,0.00011600000289035961,0.00012700000661425292,9.999999747378752e-05,0.00010399999882793054,8288,0.0,0.0
