TIMESTAMP,XEN_OPEN_PRICE_USD,XEN_HIGH_PRICE_USD,XEN_LOW_PRICE_USD,XEN_CLOSE_PRICE_USD,XEN_VOLUME_USD,XEN_DIVIDENDS_USD,XEN_STOCK_SPLITS_USD
2022-10-09 00:00:00+00:00,0.006147999782115221,3.6758410930633545,0.004474000073969364,0.005239999853074551,32009808,0.0,0.0
2022-10-10 00:00:00+00:00,0.005239999853074551,0.006014000158756971,0.00031400000443682075,0.0003659999929368496,51097292,0.0,0.0
2022-10-11 00:00:00+00:00,0.0003659999929368496,0.000371000001905486,0.00018600000475998968,0.0002119999990100041,27109953,0.0,0.0
2022-10-12 00:00:00+00:00,0.0002119999990100041,0.0002209999947808683,0.00012799999967683107,0.00012799999967683107,7300984,0.0,0.0
2022-10-13 00:00:00+00:00,0.00012799999967683107,0.00013699999544769526,6.900000153109431e-05,7.100000220816582e-05,6858297,0.0,0.0
2022-10-14 00:00:00+00:00,7.000000186963007e-05,0.00013000000035390258,6.600000051548705e-05,8.499999967170879e-05,18873358,0.0,0.0
2022-10-15 00:00:00+00:00,8.499999967170879e-05,8.499999967170879e-05,3.899999865097925e-05,3.899999865097925e-05,6452695,0.0,0.0
2022-10-16 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,2.9999999242136255e-05,3.199999991920777e-05,6583969,0.0,0.0
2022-10-17 00:00:00+00:00,3.199999991920777e-05,3.9999998989515007e-05,2.5999999706982635e-05,3.9999998989515007e-05,15136475,0.0,0.0
2022-10-18 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,2.700000004551839e-05,3.5000000934815034e-05,8245402,0.0,0.0
2022-10-19 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.9000000722589903e-05,3.099999958067201e-05,5138107,0.0,0.0
2022-10-20 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.300000051036477e-05,2.300000051036477e-05,4113546,0.0,0.0
2022-10-21 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8000000636675395e-05,4959082,0.0,0.0
2022-10-22 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.2000000424450263e-05,4757800,0.0,0.0
2022-10-23 00:00:00+00:00,1.2000000424450263e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.4000000192027073e-05,5876027,0.0,0.0
2022-10-24 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,3599355,0.0,0.0
