TIMESTAMP,APARTMENT_OPEN_PRICE_USD,APARTMENT_HIGH_PRICE_USD,APARTMENT_LOW_PRICE_USD,APARTMENT_CLOSE_PRICE_USD,APARTMENT_VOLUME_USD,APARTMENT_DIVIDENDS_USD,APARTMENT_STOCK_SPLITS_USD
2025-04-28 00:00:00+00:00,,,,0.0,510006,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,1763983,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,649865,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,23259,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,38028,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,5766,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,28712,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,16168,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,3752,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,2518,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,1861,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,659,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,233,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,628,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,4159,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,1115,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,1125,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,5346,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,1728,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,3894,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,3049,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,309,0.0,0.0
2025-06-01 00:00:00+00:00,4.746399941916307e-14,4.763399893167701e-14,4.5702001482284677e-14,4.57021166787655e-14,113,0.0,0.0
