TIMESTAMP,DUCKER26762_OPEN_PRICE_USD,DUCKER26762_HIGH_PRICE_USD,DUCKER26762_LOW_PRICE_USD,DUCKER26762_CLOSE_PRICE_USD,DUCKER26762_VOLUME_USD,DUCKER26762_DIVIDENDS_USD,DUCKER26762_STOCK_SPLITS_USD
2023-06-16 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,16181,0.0,0.0
2023-06-17 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,17934,0.0,0.0
2023-06-18 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,17885,0.0,0.0
2023-06-19 00:00:00+00:00,1.9999999949504854e-06,4.999999873689376e-06,1.9999999949504854e-06,3.000000106112566e-06,44838,0.0,0.0
2023-06-20 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,21599,0.0,0.0
2023-06-21 00:00:00+00:00,3.999999989900971e-06,1.5999999959603883e-05,3.999999989900971e-06,1.5999999959603883e-05,193989,0.0,0.0
2023-06-22 00:00:00+00:00,1.4999999621068127e-05,6.199999916134402e-05,1.4999999621068127e-05,4.600000102072954e-05,1536343,0.0,0.0
2023-06-23 00:00:00+00:00,4.8000001697801054e-05,5.700000110664405e-05,2.499999936844688e-05,3.099999958067201e-05,843352,0.0,0.0
2023-06-24 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,1.700000029813964e-05,2.499999936844688e-05,316568,0.0,0.0
2023-06-25 00:00:00+00:00,2.499999936844688e-05,3.099999958067201e-05,1.4999999621068127e-05,2.2000000171829015e-05,238473,0.0,0.0
2023-06-26 00:00:00+00:00,2.2000000171829015e-05,3.199999991920777e-05,2.099999983329326e-05,2.5999999706982635e-05,248347,0.0,0.0
2023-06-27 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.099999983329326e-05,2.300000051036477e-05,168543,0.0,0.0
2023-06-28 00:00:00+00:00,2.300000051036477e-05,3.199999991920777e-05,1.700000029813964e-05,2.099999983329326e-05,447741,0.0,0.0
2023-06-29 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,3.999999989900971e-06,9.000000318337698e-06,298562,0.0,0.0
2023-06-30 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,4.999999873689376e-06,7.000000096013537e-06,95730,0.0,0.0
2023-07-01 00:00:00+00:00,7.000000096013537e-06,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,97782,0.0,0.0
2023-07-02 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,55510,0.0,0.0
2023-07-03 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,3.999999989900971e-06,6.000000212225132e-06,62784,0.0,0.0
2023-07-04 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,4.999999873689376e-06,6.000000212225132e-06,42781,0.0,0.0
2023-07-05 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,54267,0.0,0.0
