TIMESTAMP,DRB_OPEN_PRICE_USD,DRB_HIGH_PRICE_USD,DRB_LOW_PRICE_USD,DRB_CLOSE_PRICE_USD,DRB_VOLUME_USD,DRB_DIVIDENDS_USD,DRB_STOCK_SPLITS_USD
2022-12-07 00:00:00+00:00,,,,0.0,378714,0.0,0.0
2022-12-08 00:00:00+00:00,,,,0.0,95446,0.0,0.0
2022-12-09 00:00:00+00:00,,,,0.0,89262,0.0,0.0
2022-12-10 00:00:00+00:00,,,,0.0,44406,0.0,0.0
2022-12-11 00:00:00+00:00,,,,0.0,25568,0.0,0.0
2022-12-12 00:00:00+00:00,,,,0.0,16036,0.0,0.0
2022-12-13 00:00:00+00:00,,,,0.0,6984,0.0,0.0
2022-12-14 00:00:00+00:00,,,,0.0,5179,0.0,0.0
2022-12-15 00:00:00+00:00,,,,0.0,4033,0.0,0.0
2022-12-16 00:00:00+00:00,,,,0.0,1675,0.0,0.0
2022-12-17 00:00:00+00:00,,,,0.0,2815,0.0,0.0
2022-12-18 00:00:00+00:00,,,,0.0,7409,0.0,0.0
2022-12-19 00:00:00+00:00,,,,0.0,3999,0.0,0.0
2022-12-20 00:00:00+00:00,,,,0.0,2206,0.0,0.0
2022-12-21 00:00:00+00:00,,,,0.0,2127,0.0,0.0
2022-12-22 00:00:00+00:00,,,,0.0,1192,0.0,0.0
2022-12-23 00:00:00+00:00,,,,0.0,291,0.0,0.0
2022-12-24 00:00:00+00:00,,,,0.0,669,0.0,0.0
2022-12-25 00:00:00+00:00,,,,0.0,822,0.0,0.0
2022-12-26 00:00:00+00:00,,,,0.0,699,0.0,0.0
2022-12-27 00:00:00+00:00,,,,0.0,443,0.0,0.0
2022-12-28 00:00:00+00:00,,,,0.0,867,0.0,0.0
2022-12-29 00:00:00+00:00,,,,0.0,271,0.0,0.0
2022-12-30 00:00:00+00:00,,,,0.0,432,0.0,0.0
2022-12-31 00:00:00+00:00,,,,0.0,199,0.0,0.0
2023-01-01 00:00:00+00:00,,,,0.0,101,0.0,0.0
2023-01-02 00:00:00+00:00,,,,0.0,89,0.0,0.0
2023-01-03 00:00:00+00:00,,,,0.0,874,0.0,0.0
2023-01-04 00:00:00+00:00,,,,0.0,2144,0.0,0.0
2023-01-05 00:00:00+00:00,,,,0.0,3075,0.0,0.0
2023-01-06 00:00:00+00:00,,,,0.0,1760,0.0,0.0
2023-01-07 00:00:00+00:00,,,,0.0,2441,0.0,0.0
2023-01-08 00:00:00+00:00,,,,0.0,87,0.0,0.0
2023-01-09 00:00:00+00:00,,,,0.0,921,0.0,0.0
2023-01-10 00:00:00+00:00,,,,0.0,874,0.0,0.0
2023-01-11 00:00:00+00:00,,,,0.0,217,0.0,0.0
2023-01-12 00:00:00+00:00,,,,0.0,342,0.0,0.0
2023-01-13 00:00:00+00:00,,,,0.0,853,0.0,0.0
2023-01-14 00:00:00+00:00,,,,0.0,592,0.0,0.0
