TIMESTAMP,BONFIRE_OPEN_PRICE_USD,BONFIRE_HIGH_PRICE_USD,BONFIRE_LOW_PRICE_USD,BONFIRE_CLOSE_PRICE_USD,BONFIRE_VOLUME_USD,BONFIRE_DIVIDENDS_USD,BONFIRE_STOCK_SPLITS_USD
2021-05-07 00:00:00+00:00,,,,0.0,25710728,0.0,0.0
2021-05-08 00:00:00+00:00,,,,0.0,28250561,0.0,0.0
2021-05-09 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,49640336,0.0,0.0
2021-05-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,76191935,0.0,0.0
2021-05-11 00:00:00+00:00,,,,0.0,16581539,0.0,0.0
2021-05-12 00:00:00+00:00,,,,0.0,14727174,0.0,0.0
2021-05-13 00:00:00+00:00,,,,0.0,7688220,0.0,0.0
2021-05-14 00:00:00+00:00,,,,0.0,7523533,0.0,0.0
2021-05-15 00:00:00+00:00,,,,0.0,3270341,0.0,0.0
2021-05-16 00:00:00+00:00,,,,0.0,4312486,0.0,0.0
2021-05-17 00:00:00+00:00,,,,0.0,3273766,0.0,0.0
2021-05-18 00:00:00+00:00,,,,0.0,1480611,0.0,0.0
2021-05-19 00:00:00+00:00,,,,0.0,6425393,0.0,0.0
2021-05-20 00:00:00+00:00,,,,0.0,1730926,0.0,0.0
2021-05-21 00:00:00+00:00,,,,0.0,1974020,0.0,0.0
2021-05-22 00:00:00+00:00,,,,0.0,985868,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,1676018,0.0,0.0
2021-05-24 00:00:00+00:00,,,,0.0,1312079,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,921434,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,691565,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,882355,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,678255,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,1446786,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,1298941,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,1054511,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,1135075,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,1322783,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,1249307,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,1624931,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,1633380,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,690022,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,846211,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,1111414,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,769962,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,594785,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,652676,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,627319,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,618838,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,505263,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,742996,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,833917,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,737072,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,588219,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,625399,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,503119,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,698888,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,971054,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,860773,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,523636,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,790946,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,492384,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,409700,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,352300,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,422747,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,350713,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,302705,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,322907,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,289075,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,506284,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,718039,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,675038,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,450861,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,364170,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,341255,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,395337,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,479717,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,301590,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,205946,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,216308,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,242810,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,169263,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,127927,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,132322,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,175774,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,253527,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,233851,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,137000,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,120972,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,129860,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,103810,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,138988,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,138448,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,147442,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,168514,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,469089,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,615249,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,671322,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,701874,0.0,0.0
