TIMESTAMP,PEPO31630_OPEN_PRICE_USD,PEPO31630_HIGH_PRICE_USD,PEPO31630_LOW_PRICE_USD,PEPO31630_CLOSE_PRICE_USD,PEPO31630_VOLUME_USD,PEPO31630_DIVIDENDS_USD,PEPO31630_STOCK_SPLITS_USD
2024-06-05 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,1.9999999949504854e-06,3.999999989900971e-06,2003374,0.0,0.0
2024-06-06 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,1.9999999949504854e-06,3.999999989900971e-06,826153,0.0,0.0
2024-06-07 00:00:00+00:00,3.000000106112566e-06,9.999999747378752e-06,3.000000106112566e-06,9.000000318337698e-06,2055705,0.0,0.0
2024-06-08 00:00:00+00:00,7.999999979801942e-06,1.2999999853491317e-05,7.000000096013537e-06,9.000000318337698e-06,1687031,0.0,0.0
2024-06-09 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,709652,0.0,0.0
2024-06-10 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,452429,0.0,0.0
2024-06-11 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,472419,0.0,0.0
2024-06-12 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,377045,0.0,0.0
2024-06-13 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,409526,0.0,0.0
2024-06-14 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,343794,0.0,0.0
2024-06-15 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,185988,0.0,0.0
2024-06-16 00:00:00+00:00,3.999999989900971e-06,7.999999979801942e-06,3.999999989900971e-06,4.999999873689376e-06,368762,0.0,0.0
2024-06-17 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,223546,0.0,0.0
2024-06-18 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,211671,0.0,0.0
2024-06-19 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,211466,0.0,0.0
2024-06-20 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,118087,0.0,0.0
2024-06-21 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,35277,0.0,0.0
2024-06-22 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,62208,0.0,0.0
2024-06-23 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,61760,0.0,0.0
2024-06-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,76067,0.0,0.0
2024-06-25 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,195502,0.0,0.0
2024-06-26 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,82905,0.0,0.0
2024-06-27 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,57650,0.0,0.0
