TIMESTAMP,DIME_OPEN_PRICE_USD,DIME_HIGH_PRICE_USD,DIME_LOW_PRICE_USD,DIME_CLOSE_PRICE_USD,DIME_VOLUME_USD,DIME_DIVIDENDS_USD,DIME_STOCK_SPLITS_USD
2017-11-09 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.999999979801942e-06,5025,0.0,0.0
2017-11-10 00:00:00+00:00,7.999999979801942e-06,1.2999999853491317e-05,7.000000096013537e-06,1.2000000424450263e-05,3444,0.0,0.0
2017-11-11 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,6.000000212225132e-06,7.000000096013537e-06,2018,0.0,0.0
2017-11-12 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,3.999999989900971e-06,3.999999989900971e-06,1880,0.0,0.0
2017-11-13 00:00:00+00:00,3.999999989900971e-06,1.1000000085914508e-05,3.999999989900971e-06,9.000000318337698e-06,2498,0.0,0.0
2017-11-14 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,4.999999873689376e-06,6.000000212225132e-06,1066,0.0,0.0
2017-11-15 00:00:00+00:00,6.000000212225132e-06,2.700000004551839e-05,6.000000212225132e-06,2.700000004551839e-05,1671,0.0,0.0
2017-11-16 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,1.8999999156221747e-05,2.4000000848900527e-05,3582,0.0,0.0
2017-11-17 00:00:00+00:00,2.4000000848900527e-05,4.199999966658652e-05,2.099999983329326e-05,2.099999983329326e-05,5677,0.0,0.0
2017-11-18 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,3.999999989900971e-06,7.999999979801942e-06,6355,0.0,0.0
2017-11-19 00:00:00+00:00,7.999999979801942e-06,2.9000000722589903e-05,7.999999979801942e-06,2.8000000384054147e-05,3322,0.0,0.0
2017-11-20 00:00:00+00:00,2.8000000384054147e-05,4.999999873689376e-05,2.700000004551839e-05,3.7999998312443495e-05,4398,0.0,0.0
2017-11-21 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,1.1000000085914508e-05,1.1000000085914508e-05,3045,0.0,0.0
2017-11-22 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,6.000000212225132e-06,9.000000318337698e-06,5994,0.0,0.0
2017-11-23 00:00:00+00:00,9.000000318337698e-06,1.5999999959603883e-05,9.000000318337698e-06,1.2999999853491317e-05,5298,0.0,0.0
2017-11-24 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,4.999999873689376e-06,9.999999747378752e-06,2876,0.0,0.0
2017-11-25 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,3.000000106112566e-06,3.999999989900971e-06,11061,0.0,0.0
2017-11-26 00:00:00+00:00,3.999999989900971e-06,4.400000034365803e-05,3.999999989900971e-06,2.300000051036477e-05,4445,0.0,0.0
2017-11-27 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,4.999999873689376e-06,4.999999873689376e-06,3852,0.0,0.0
2017-11-28 00:00:00+00:00,4.999999873689376e-06,1.4000000192027073e-05,4.999999873689376e-06,1.4000000192027073e-05,2925,0.0,0.0
2017-11-29 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,9.000000318337698e-06,1.2000000424450263e-05,3447,0.0,0.0
2017-11-30 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,7.000000096013537e-06,9.000000318337698e-06,5539,0.0,0.0
2017-12-01 00:00:00+00:00,9.000000318337698e-06,1.4999999621068127e-05,6.000000212225132e-06,1.1000000085914508e-05,2791,0.0,0.0
2017-12-02 00:00:00+00:00,1.1000000085914508e-05,3.099999958067201e-05,1.1000000085914508e-05,2.2000000171829015e-05,2300,0.0,0.0
2017-12-03 00:00:00+00:00,2.300000051036477e-05,3.300000025774352e-05,9.999999747378752e-06,1.2999999853491317e-05,4463,0.0,0.0
2017-12-04 00:00:00+00:00,1.2000000424450263e-05,2.2000000171829015e-05,1.1000000085914508e-05,1.4000000192027073e-05,2829,0.0,0.0
2017-12-05 00:00:00+00:00,1.4000000192027073e-05,2.4000000848900527e-05,9.000000318337698e-06,2.300000051036477e-05,2899,0.0,0.0
2017-12-06 00:00:00+00:00,2.300000051036477e-05,3.5000000934815034e-05,7.000000096013537e-06,7.000000096013537e-06,4972,0.0,0.0
2017-12-07 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,18802,0.0,0.0
2017-12-08 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,12753,0.0,0.0
2017-12-09 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,9.999999747378752e-06,3009,0.0,0.0
2017-12-10 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-05,9.999999747378752e-06,4.70000013592653e-05,34809,0.0,0.0
2017-12-11 00:00:00+00:00,4.70000013592653e-05,5.199999941396527e-05,1.4999999621068127e-05,1.4999999621068127e-05,16521,0.0,0.0
2017-12-12 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,9.999999747378752e-06,1.4000000192027073e-05,40356,0.0,0.0
2017-12-13 00:00:00+00:00,1.4000000192027073e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.8999999156221747e-05,11345,0.0,0.0
2017-12-14 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.2999999853491317e-05,16709,0.0,0.0
2017-12-15 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,7.999999979801942e-06,9.000000318337698e-06,14528,0.0,0.0
2017-12-16 00:00:00+00:00,9.000000318337698e-06,5.400000009103678e-05,9.000000318337698e-06,4.5000000682193786e-05,30173,0.0,0.0
2017-12-17 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,2.099999983329326e-05,3.5000000934815034e-05,32384,0.0,0.0
2017-12-18 00:00:00+00:00,3.5000000934815034e-05,4.999999873689376e-05,1.8000000636675395e-05,1.8999999156221747e-05,62109,0.0,0.0
