TIMESTAMP,OLAF_OPEN_PRICE_USD,OLAF_HIGH_PRICE_USD,OLAF_LOW_PRICE_USD,OLAF_CLOSE_PRICE_USD,OLAF_VOLUME_USD,OLAF_DIVIDENDS_USD,OLAF_STOCK_SPLITS_USD
2024-12-18 00:00:00+00:00,7.200000254670158e-05,8.70000003487803e-05,5.999999848427251e-05,6.0999998822808266e-05,8933,0.0,0.0
2024-12-19 00:00:00+00:00,6.0999998822808266e-05,7.100000220816582e-05,5.199999941396527e-05,5.199999941396527e-05,8623,0.0,0.0
2024-12-20 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.5000000682193786e-05,4.999999873689376e-05,3692,0.0,0.0
2024-12-21 00:00:00+00:00,4.999999873689376e-05,5.199999941396527e-05,4.5000000682193786e-05,4.5000000682193786e-05,871,0.0,0.0
2024-12-22 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,3.7000001611886546e-05,3.7999998312443495e-05,2073,0.0,0.0
2024-12-23 00:00:00+00:00,3.7999998312443495e-05,3.9999998989515007e-05,1.8999999156221747e-05,3.7999998312443495e-05,1177,0.0,0.0
2024-12-24 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,3.7999998312443495e-05,3.9999998989515007e-05,1553,0.0,0.0
2024-12-25 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.899999865097925e-05,3.9999998989515007e-05,451,0.0,0.0
2024-12-26 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,2.499999936844688e-05,2.499999936844688e-05,3984,0.0,0.0
2024-12-27 00:00:00+00:00,2.499999936844688e-05,2.9999999242136255e-05,2.499999936844688e-05,2.499999936844688e-05,2375,0.0,0.0
2024-12-28 00:00:00+00:00,2.499999936844688e-05,3.099999958067201e-05,2.499999936844688e-05,3.099999958067201e-05,1893,0.0,0.0
2024-12-29 00:00:00+00:00,3.099999958067201e-05,3.7999998312443495e-05,3.099999958067201e-05,3.600000127335079e-05,2450,0.0,0.0
2024-12-30 00:00:00+00:00,3.600000127335079e-05,3.9999998989515007e-05,2.5999999706982635e-05,3.199999991920777e-05,7089,0.0,0.0
2024-12-31 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,2.9999999242136255e-05,624,0.0,0.0
2025-01-01 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.4000000848900527e-05,1758,0.0,0.0
2025-01-02 00:00:00+00:00,2.4000000848900527e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.5999999706982635e-05,1296,0.0,0.0
2025-01-03 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.8000000384054147e-05,40,0.0,0.0
2025-01-04 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,100,0.0,0.0
2025-01-05 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,163,0.0,0.0
2025-01-06 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,447,0.0,0.0
2025-01-07 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.499999936844688e-05,2.499999936844688e-05,353,0.0,0.0
2025-01-08 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,21,0.0,0.0
2025-01-09 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,92,0.0,0.0
2025-01-10 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,491,0.0,0.0
2025-01-11 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,169,0.0,0.0
2025-01-12 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,122,0.0,0.0
2025-01-13 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,95,0.0,0.0
2025-01-14 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,48,0.0,0.0
2025-01-15 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,2.099999983329326e-05,2.4000000848900527e-05,600,0.0,0.0
2025-01-16 00:00:00+00:00,2.4000000848900527e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.499999936844688e-05,19,0.0,0.0
2025-01-17 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,702,0.0,0.0
2025-01-18 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.700000004551839e-05,2.9000000722589903e-05,1475,0.0,0.0
2025-01-19 00:00:00+00:00,2.9000000722589903e-05,3.199999991920777e-05,2.5999999706982635e-05,2.5999999706982635e-05,637,0.0,0.0
2025-01-20 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.700000004551839e-05,232,0.0,0.0
