TIMESTAMP,GONDOLA_OPEN_PRICE_USD,GONDOLA_HIGH_PRICE_USD,GONDOLA_LOW_PRICE_USD,GONDOLA_CLOSE_PRICE_USD,GONDOLA_VOLUME_USD,GONDOLA_DIVIDENDS_USD,GONDOLA_STOCK_SPLITS_USD
2024-07-09 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,314773,0.0,0.0
2024-07-10 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.999999989900971e-06,149098,0.0,0.0
2024-07-11 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,152048,0.0,0.0
2024-07-12 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,278220,0.0,0.0
2024-07-13 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,104365,0.0,0.0
2024-07-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,70679,0.0,0.0
2024-07-15 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,83191,0.0,0.0
2024-07-16 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,41759,0.0,0.0
2024-07-17 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,47143,0.0,0.0
2024-07-18 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,56488,0.0,0.0
2024-07-19 00:00:00+00:00,3.000000106112566e-06,7.000000096013537e-06,3.000000106112566e-06,4.999999873689376e-06,291535,0.0,0.0
2024-07-20 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,74920,0.0,0.0
