,Frequency,ADF_P_Val,ADF_Determination,KPSS_P_Val,KPSS_Determination
0,12_Hour,0.6145552526683921,Non-Stationary,0.01,Non-Stationary
1,1_Day,0.6197787581784906,Non-Stationary,0.01,Non-Stationary
2,1_Hour,0.6798446417428969,Non-Stationary,0.01,Non-Stationary
3,2_Hour,0.6772958387018404,Non-Stationary,0.01,Non-Stationary
4,4_Hour,0.6170959205183943,Non-Stationary,0.01,Non-Stationary
5,6_Hour,0.6353582490807311,Non-Stationary,0.01,Non-Stationary
6,8_Hour,0.63894062499512,Non-Stationary,0.01,Non-Stationary
