,Frequency,ADF_P_Val,ADF_Determination,KPSS_P_Val,KPSS_Determination
0,12_Hour,0.614897532456751,Non-Stationary,0.01,Non-Stationary
1,1_Day,0.6335036836037318,Non-Stationary,0.01,Non-Stationary
2,1_Hour,0.6769471056914264,Non-Stationary,0.01,Non-Stationary
3,2_Hour,0.6700662727126718,Non-Stationary,0.01,Non-Stationary
4,4_Hour,0.5958074888700028,Non-Stationary,0.01,Non-Stationary
5,6_Hour,0.642655233241639,Non-Stationary,0.01,Non-Stationary
6,8_Hour,0.6206949364917201,Non-Stationary,0.01,Non-Stationary
