TIMESTAMP,XRP_OPEN_PRICE_USD,XRP_HIGH_PRICE_USD,XRP_LOW_PRICE_USD,XRP_CLOSE_PRICE_USD,XRP_FIRST_TRADE_PRICE_USD,XRP_HIGH_TRADE_PRICE_USD,XRP_LOW_TRADE_PRICE_USD,XRP_LAST_TRADE_PRICE_USD,XRP_TOTAL_TRADE_COUNT,XRP_TOTAL_TRADES_BUY,XRP_TOTAL_TRADES_SELL,XRP_VOLUME_XRP,XRP_VOLUME_USD,XRP_BUY_VOLUME_XRP,XRP_BUY_VOLUME_USD,XRP_SELL_VOLUME_XRP,XRP_SELL_VOLUME_USD
2018-05-04 08:00:00,0.5,1.5,0.5,0.89199,0.5,1.5,0.5,0.89199,34358,13962,20396,19070504.51,17313522.3132572,7797285.96,7062833.9286008,11273218.55,10250688.3846564
2018-05-04 20:00:00,0.89199,0.90699,0.88907,0.8899,0.892,0.90699,0.88907,0.8899,3134,1563,1571,1819709.31,1633202.3812183,783007.38,702871.6134747,1036701.93,930330.7677436
2018-05-05 00:00:00,0.8899,0.90985,0.888,0.90176,0.8898,0.90985,0.888,0.90176,10485,5288,5197,7308711.18,6596444.2261919,3433047.01,3099392.893691,3875664.17,3497051.3325009
2018-05-05 12:00:00,0.90176,0.935,0.89601,0.9028,0.90245,0.935,0.89601,0.9028,15991,8342,7649,9507454.12,8685555.851599,4623975.9,4222593.2463084,4883478.22,4462962.6052906
2018-05-06 00:00:00,0.9028,0.918,0.85,0.8555,0.9028,0.918,0.85,0.8555,17431,8332,9099,10458330.31,9235829.136356,4507559.04,3970566.8719691,5950771.27,5265262.2643869
2018-05-06 12:00:00,0.8555,0.8715,0.83774,0.86483,0.85576,0.8715,0.83774,0.86483,11282,5797,5485,5543705.49,4761312.4274608,2597794.5,2232153.7657147,2945910.99,2529158.6617461
2018-05-07 00:00:00,0.86483,0.86886,0.8,0.82,0.86482,0.86886,0.8,0.82,16864,9234,7630,10052658.88,8241669.4958398,4613380.05,3771134.8466654,5439278.83,4470534.6491744
2018-05-07 12:00:00,0.82,0.8422,0.8,0.8249,0.81921,0.8422,0.8,0.8249,12310,5299,7011,7250827.52,5950610.2333929,3050493.01,2499628.3057594,4200334.51,3450981.9276335
2018-05-08 00:00:00,0.8249,0.84802,0.80284,0.80284,0.8249,0.84802,0.80284,0.80284,12235,6667,5568,6369490.79,5262737.1318348,3190731.0,2636168.427419,3178759.79,2626568.7044158
2018-05-08 12:00:00,0.80284,0.8158,0.792,0.80667,0.80271,0.8158,0.792,0.80667,10775,5536,5239,6601812.39,5309106.99879,2751225.44,2211771.260595,3850586.95,3097335.738195
2018-05-09 00:00:00,0.80667,0.80813,0.7569,0.79683,0.80667,0.80813,0.7569,0.79683,16031,8323,7708,8722833.12,6800634.1939779,4456823.8,3475955.1778483,4266009.32,3324679.0161296
2018-05-09 12:00:00,0.79683,0.81894,0.7871,0.79481,0.79687,0.81894,0.7871,0.79481,10940,5734,5206,5259542.77,4214173.045954,2503142.73,2005499.7106034,2756400.04,2208673.3353506
2018-05-10 00:00:00,0.79481,0.80572,0.78497,0.79552,0.79481,0.80572,0.78497,0.79552,8177,4350,3827,3948582.02,3144456.9491603,1662009.16,1324457.0358914,2286572.86,1819999.9132689
2018-05-10 12:00:00,0.79552,0.805,0.74085,0.74558,0.79552,0.805,0.74085,0.74558,11998,6482,5516,6188313.71,4804741.4600977,2777809.77,2157725.6451162,3410503.94,2647015.8149815
2018-05-11 00:00:00,0.74558,0.75602,0.6511,0.66197,0.74562,0.75602,0.6511,0.66197,26999,13361,13638,17775093.01,12470796.0746432,7580733.65,5288548.766065,10194359.36,7182247.3085782
2018-05-11 12:00:00,0.66197,0.70759,0.64758,0.6761,0.66196,0.70759,0.64758,0.6761,23249,11345,11904,13517387.03,9140541.9752129,7131320.02,4814677.5217128,6386067.01,4325864.4535001
2018-05-12 00:00:00,0.6761,0.705,0.62519,0.69098,0.67376,0.705,0.62519,0.69098,17983,7882,10101,9515148.53,6351022.9497933,4065734.16,2716784.2702866,5449414.37,3634238.6795067
2018-05-12 12:00:00,0.69098,0.71,0.654,0.68522,0.69098,0.71,0.654,0.68522,15924,7186,8738,8666002.58,5872865.8881209,3932017.51,2665168.6500786,4733985.07,3207697.2380423
2018-05-13 00:00:00,0.68522,0.69499,0.66456,0.69042,0.68192,0.69499,0.66456,0.69042,9864,4685,5179,5097029.72,3475045.4852123,2383597.6,1625692.8793442,2713432.12,1849352.6058681
2018-05-13 12:00:00,0.69042,0.7501,0.687,0.72999,0.691,0.7501,0.687,0.72999,20089,9167,10922,12424232.05,9028105.0344814,5919423.1,4291272.2437351,6504808.95,4736832.7907463
2018-05-14 00:00:00,0.72999,0.73247,0.68585,0.718,0.72897,0.73247,0.68585,0.718,16872,8261,8611,10426407.38,7376796.4003415,4938121.18,3493145.3106029,5488286.2,3883651.0897386
2018-05-14 12:00:00,0.718,0.7499,0.6905,0.72694,0.716,0.7499,0.6905,0.72694,18987,8989,9998,11344957.58,8285080.1434454,4908166.33,3588561.2373051,6436791.25,4696518.9061403
2018-05-15 00:00:00,0.72694,0.74892,0.72367,0.7379,0.72695,0.74892,0.72367,0.7379,9562,4658,4904,5200639.88,3831753.8691252,2410794.56,1776170.4870391,2789845.32,2055583.3820861
2018-05-15 12:00:00,0.7379,0.74134,0.6801,0.689,0.7379,0.74134,0.6801,0.689,12841,6739,6102,7751348.57,5483986.6037977,3632263.26,2568136.6532571,4119085.31,2915849.9505406
2018-05-16 00:00:00,0.689,0.70023,0.65756,0.69128,0.689,0.70023,0.65756,0.69128,11270,5488,5782,6342281.08,4289659.3459155,3064393.7,2072753.8464357,3277887.38,2216905.4994798
