TIMESTAMP,DOGEKING_OPEN_PRICE_USD,DOGEKING_HIGH_PRICE_USD,DOGEKING_LOW_PRICE_USD,DOGEKING_CLOSE_PRICE_USD,DOGEKING_VOLUME_USD,DOGEKING_DIVIDENDS_USD,DOGEKING_STOCK_SPLITS_USD
2022-02-04 00:00:00+00:00,,,,0.0,31801557,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,49234400,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,34375942,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,164760,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,192998,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,443129,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,793976,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,690414,0.0,0.0
2022-06-06 00:00:00+00:00,,,,0.0,631066,0.0,0.0
2022-06-07 00:00:00+00:00,,,,0.0,681546,0.0,0.0
2022-06-08 00:00:00+00:00,,,,0.0,611148,0.0,0.0
2022-06-09 00:00:00+00:00,,,,0.0,761834,0.0,0.0
2022-06-10 00:00:00+00:00,,,,0.0,1005199,0.0,0.0
2022-06-11 00:00:00+00:00,,,,0.0,824964,0.0,0.0
2022-06-12 00:00:00+00:00,,,,0.0,1072934,0.0,0.0
2022-06-13 00:00:00+00:00,,,,0.0,857803,0.0,0.0
2022-06-14 00:00:00+00:00,,,,0.0,810108,0.0,0.0
2022-06-15 00:00:00+00:00,,,,0.0,389292,0.0,0.0
2022-06-16 00:00:00+00:00,,,,0.0,1156999,0.0,0.0
2022-06-17 00:00:00+00:00,,,,0.0,1393154,0.0,0.0
2022-06-18 00:00:00+00:00,,,,0.0,889354,0.0,0.0
2022-06-19 00:00:00+00:00,,,,0.0,795352,0.0,0.0
2022-06-20 00:00:00+00:00,,,,0.0,581993,0.0,0.0
2022-06-21 00:00:00+00:00,,,,0.0,491788,0.0,0.0
2022-06-22 00:00:00+00:00,,,,0.0,603144,0.0,0.0
2022-06-23 00:00:00+00:00,,,,0.0,584765,0.0,0.0
2022-06-24 00:00:00+00:00,,,,0.0,499534,0.0,0.0
2022-06-25 00:00:00+00:00,,,,0.0,553522,0.0,0.0
