TIMESTAMP,KITEAI_OPEN_PRICE_USD,KITEAI_HIGH_PRICE_USD,KITEAI_LOW_PRICE_USD,KITEAI_CLOSE_PRICE_USD,KITEAI_VOLUME_USD,KITEAI_DIVIDENDS_USD,KITEAI_STOCK_SPLITS_USD
2024-10-22 00:00:00+00:00,4.400000034365803e-05,5.400000009103678e-05,4.3000000005122274e-05,5.400000009103678e-05,12145913,0.0,0.0
2024-10-23 00:00:00+00:00,5.400000009103678e-05,8.70000003487803e-05,5.0999999075429514e-05,6.70000008540228e-05,50485530,0.0,0.0
2024-10-24 00:00:00+00:00,6.600000051548705e-05,0.00017100000695791095,5.500000042957254e-05,5.500000042957254e-05,82112116,0.0,0.0
2024-10-25 00:00:00+00:00,5.500000042957254e-05,6.500000017695129e-05,3.300000025774352e-05,3.7000001611886546e-05,14571219,0.0,0.0
2024-10-26 00:00:00+00:00,3.7000001611886546e-05,4.400000034365803e-05,2.300000051036477e-05,2.8000000384054147e-05,751352,0.0,0.0
2024-10-27 00:00:00+00:00,2.8000000384054147e-05,3.300000025774352e-05,1.8000000636675395e-05,1.8999999156221747e-05,423086,0.0,0.0
2024-10-28 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.5999999959603883e-05,1.8999999156221747e-05,178538,0.0,0.0
2024-10-29 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.4000000192027073e-05,1.4999999621068127e-05,715510,0.0,0.0
2024-10-30 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,9.000000318337698e-06,9.999999747378752e-06,259442,0.0,0.0
2024-10-31 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.999999747378752e-06,1.2000000424450263e-05,226972,0.0,0.0
2024-11-01 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,7.000000096013537e-06,7.999999979801942e-06,275249,0.0,0.0
2024-11-02 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,53497,0.0,0.0
2024-11-03 00:00:00+00:00,7.999999979801942e-06,1.4000000192027073e-05,7.999999979801942e-06,1.2000000424450263e-05,198178,0.0,0.0
2024-11-04 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,9.000000318337698e-06,1.1000000085914508e-05,334369,0.0,0.0
