TIMESTAMP,LEOPARD_OPEN_PRICE_USD,LEOPARD_HIGH_PRICE_USD,LEOPARD_LOW_PRICE_USD,LEOPARD_CLOSE_PRICE_USD,LEOPARD_VOLUME_USD,LEOPARD_DIVIDENDS_USD,LEOPARD_STOCK_SPLITS_USD
2021-06-10 00:00:00+00:00,,,,0.0,589812,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,778209,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,440697,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,287592,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,172237,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,153435,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,137272,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,90141,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,84562,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,69009,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,57200,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,48702,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,50699,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,44500,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,42082,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,73290,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,48030,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,34113,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,26632,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,26159,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,24354,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,25895,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,29598,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,29088,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,30635,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,29247,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,33717,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,30142,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,18014,0.0,0.0
