TIMESTAMP,CHP_OPEN_PRICE_USD,CHP_HIGH_PRICE_USD,CHP_LOW_PRICE_USD,CHP_CLOSE_PRICE_USD,CHP_VOLUME_USD,CHP_DIVIDENDS_USD,CHP_STOCK_SPLITS_USD
2018-03-08 00:00:00+00:00,0.10217499732971191,0.10221000015735626,0.09721200168132782,0.09749899804592133,350963,0.0,0.0
2018-03-09 00:00:00+00:00,0.09731999784708023,0.09971500188112259,0.08405300229787827,0.09946499764919281,177708,0.0,0.0
2018-03-10 00:00:00+00:00,0.09941399842500687,0.10821700096130371,0.09699500352144241,0.10100699961185455,66746,0.0,0.0
2018-03-11 00:00:00+00:00,0.10070600360631943,0.1338540017604828,0.09594900161027908,0.11108499765396118,466788,0.0,0.0
2018-03-12 00:00:00+00:00,0.11094799637794495,0.11594200134277344,0.09401600062847137,0.10235799849033356,385855,0.0,0.0
2018-03-13 00:00:00+00:00,0.10225299745798111,0.1059809997677803,0.09140899777412415,0.0916920006275177,362064,0.0,0.0
2018-03-14 00:00:00+00:00,0.09172700345516205,0.0959239974617958,0.06838200241327286,0.07198300212621689,192557,0.0,0.0
2018-03-15 00:00:00+00:00,0.07218500226736069,0.07250799983739853,0.06699199974536896,0.06985499709844589,143580,0.0,0.0
2018-03-16 00:00:00+00:00,0.06977400183677673,0.07153099775314331,0.0670119971036911,0.06888499855995178,195969,0.0,0.0
2018-03-17 00:00:00+00:00,0.0689300000667572,0.0694819986820221,0.061831001192331314,0.06332799792289734,11436,0.0,0.0
2018-03-18 00:00:00+00:00,0.0630510002374649,0.07302100211381912,0.05289199948310852,0.06990399956703186,245212,0.0,0.0
2018-03-19 00:00:00+00:00,0.06962399929761887,0.08199699968099594,0.0671830028295517,0.07767000049352646,225454,0.0,0.0
2018-03-20 00:00:00+00:00,0.07829000055789948,0.08301500231027603,0.07461000233888626,0.08145400136709213,164876,0.0,0.0
2018-03-21 00:00:00+00:00,0.08174800127744675,0.0853239968419075,0.07798200100660324,0.0813480019569397,119905,0.0,0.0
2018-03-22 00:00:00+00:00,0.08154600113630295,0.08396700024604797,0.07403700053691864,0.07526200264692307,134465,0.0,0.0
2018-03-23 00:00:00+00:00,0.07509999722242355,0.07719799876213074,0.05025799944996834,0.06830199807882309,159769,0.0,0.0
2018-03-24 00:00:00+00:00,0.06890799850225449,0.07193499803543091,0.06549400091171265,0.06711100041866302,14179,0.0,0.0
2018-03-25 00:00:00+00:00,0.06630700081586838,0.06833399832248688,0.0624609999358654,0.0667250007390976,58820,0.0,0.0
2018-03-26 00:00:00+00:00,0.06657599657773972,0.0670119971036911,0.05223099887371063,0.056595999747514725,125573,0.0,0.0
2018-03-27 00:00:00+00:00,0.05656199902296066,0.06147700175642967,0.04909300059080124,0.05004100129008293,142242,0.0,0.0
2018-03-28 00:00:00+00:00,0.05005799978971481,0.051757000386714935,0.04842999950051308,0.04864199832081795,93681,0.0,0.0
2018-03-29 00:00:00+00:00,0.04872899875044823,0.04970699921250343,0.042628999799489975,0.044084999710321426,123709,0.0,0.0
