TIMESTAMP,SOLANA_OPEN_PRICE_USD,SOLANA_HIGH_PRICE_USD,SOLANA_LOW_PRICE_USD,SOLANA_CLOSE_PRICE_USD,SOLANA_VOLUME_USD,SOLANA_DIVIDENDS_USD,SOLANA_STOCK_SPLITS_USD
2023-08-04 00:00:00+00:00,,,,0.0,1703403,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,2313502,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,1795775,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,1758059,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,1292295,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,1004120,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,939984,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,1797774,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,908138,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,1137196,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,2178668,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,1552693,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,1157651,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,958265,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,571628,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,595248,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,851356,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,448679,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,407616,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,225655,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,237096,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,284773,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,135682,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,260182,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,459064,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,174714,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,197461,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,135663,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,232783,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,162686,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,83341,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,103876,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,79566,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,57162,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,45596,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,41605,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,31133,0.0,0.0
