TIMESTAMP,ZKDOGE_OPEN_PRICE_USD,ZKDOGE_HIGH_PRICE_USD,ZKDOGE_LOW_PRICE_USD,ZKDOGE_CLOSE_PRICE_USD,ZKDOGE_VOLUME_USD,ZKDOGE_DIVIDENDS_USD,ZKDOGE_STOCK_SPLITS_USD
2023-03-30 00:00:00+00:00,4.8999998398358e-05,5.0999999075429514e-05,3.899999865097925e-05,4.199999966658652e-05,94890,0.0,0.0
2023-03-31 00:00:00+00:00,4.199999966658652e-05,5.0999999075429514e-05,3.5000000934815034e-05,3.899999865097925e-05,63969,0.0,0.0
2023-04-01 00:00:00+00:00,3.899999865097925e-05,4.70000013592653e-05,3.5000000934815034e-05,4.400000034365803e-05,75305,0.0,0.0
2023-04-02 00:00:00+00:00,4.400000034365803e-05,7.400000322377309e-05,4.099999932805076e-05,5.900000178371556e-05,176534,0.0,0.0
2023-04-03 00:00:00+00:00,5.900000178371556e-05,8.399999933317304e-05,5.0999999075429514e-05,7.999999797903001e-05,228295,0.0,0.0
2023-04-04 00:00:00+00:00,7.999999797903001e-05,0.0001250000059371814,6.299999949987978e-05,9.500000305706635e-05,416589,0.0,0.0
2023-04-05 00:00:00+00:00,9.600000339560211e-05,0.00013099999341648072,7.599999662488699e-05,8.299999899463728e-05,324050,0.0,0.0
2023-04-06 00:00:00+00:00,8.299999899463728e-05,9.500000305706635e-05,4.400000034365803e-05,7.699999696342275e-05,245263,0.0,0.0
2023-04-07 00:00:00+00:00,7.699999696342275e-05,8.299999899463728e-05,6.600000051548705e-05,7.699999696342275e-05,108070,0.0,0.0
2023-04-08 00:00:00+00:00,7.699999696342275e-05,8.499999967170879e-05,5.700000110664405e-05,6.0999998822808266e-05,116403,0.0,0.0
2023-04-09 00:00:00+00:00,6.199999916134402e-05,8.199999865610152e-05,6.0999998822808266e-05,7.899999764049426e-05,74021,0.0,0.0
2023-04-10 00:00:00+00:00,7.899999764049426e-05,8.099999831756577e-05,5.199999941396527e-05,6.399999983841553e-05,108587,0.0,0.0
2023-04-11 00:00:00+00:00,6.500000017695129e-05,6.800000119255856e-05,5.900000178371556e-05,6.399999983841553e-05,84963,0.0,0.0
2023-04-12 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,4.5000000682193786e-05,5.2999999752501026e-05,94340,0.0,0.0
2023-04-13 00:00:00+00:00,5.0999999075429514e-05,5.8000001445179805e-05,4.8999998398358e-05,5.6000000768108293e-05,68027,0.0,0.0
2023-04-14 00:00:00+00:00,5.6000000768108293e-05,8.099999831756577e-05,5.6000000768108293e-05,7.100000220816582e-05,110432,0.0,0.0
2023-04-15 00:00:00+00:00,7.100000220816582e-05,7.300000288523734e-05,6.600000051548705e-05,7.200000254670158e-05,42777,0.0,0.0
2023-04-16 00:00:00+00:00,7.200000254670158e-05,8.099999831756577e-05,6.900000153109431e-05,7.699999696342275e-05,54955,0.0,0.0
2023-04-17 00:00:00+00:00,7.699999696342275e-05,0.00011000000085914508,7.100000220816582e-05,9.699999645818025e-05,202307,0.0,0.0
2023-04-18 00:00:00+00:00,9.699999645818025e-05,0.00010399999882793054,6.500000017695129e-05,6.70000008540228e-05,124499,0.0,0.0
2023-04-19 00:00:00+00:00,6.70000008540228e-05,7.500000356230885e-05,4.8000001697801054e-05,4.8999998398358e-05,83496,0.0,0.0
2023-04-20 00:00:00+00:00,4.8999998398358e-05,5.8000001445179805e-05,3.899999865097925e-05,5.0999999075429514e-05,59138,0.0,0.0
2023-04-21 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,3.7000001611886546e-05,3.7999998312443495e-05,34030,0.0,0.0
2023-04-22 00:00:00+00:00,3.7999998312443495e-05,5.199999941396527e-05,3.7999998312443495e-05,4.70000013592653e-05,30023,0.0,0.0
2023-04-23 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,3.7999998312443495e-05,4.199999966658652e-05,25250,0.0,0.0
2023-04-24 00:00:00+00:00,4.199999966658652e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.899999865097925e-05,13387,0.0,0.0
2023-04-25 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,3.400000059627928e-05,3.7000001611886546e-05,26473,0.0,0.0
2023-04-26 00:00:00+00:00,3.7000001611886546e-05,4.600000102072954e-05,3.600000127335079e-05,3.899999865097925e-05,27040,0.0,0.0
2023-04-27 00:00:00+00:00,3.899999865097925e-05,4.5000000682193786e-05,3.899999865097925e-05,4.400000034365803e-05,14639,0.0,0.0
2023-04-28 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,3.600000127335079e-05,3.899999865097925e-05,22717,0.0,0.0
2023-04-29 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,3.600000127335079e-05,3.7000001611886546e-05,14411,0.0,0.0
2023-04-30 00:00:00+00:00,3.7000001611886546e-05,4.099999932805076e-05,3.5000000934815034e-05,3.9999998989515007e-05,15713,0.0,0.0
2023-05-01 00:00:00+00:00,3.9999998989515007e-05,5.199999941396527e-05,3.5000000934815034e-05,4.600000102072954e-05,74724,0.0,0.0
2023-05-02 00:00:00+00:00,4.70000013592653e-05,4.8999998398358e-05,3.9999998989515007e-05,3.9999998989515007e-05,31430,0.0,0.0
2023-05-03 00:00:00+00:00,3.9999998989515007e-05,4.3000000005122274e-05,2.8000000384054147e-05,3.600000127335079e-05,45065,0.0,0.0
2023-05-04 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.199999991920777e-05,3.199999991920777e-05,22802,0.0,0.0
