TIMESTAMP,CFN_OPEN_PRICE_USD,CFN_HIGH_PRICE_USD,CFN_LOW_PRICE_USD,CFN_CLOSE_PRICE_USD,CFN_VOLUME_USD,CFN_DIVIDENDS_USD,CFN_STOCK_SPLITS_USD
2024-09-24 00:00:00+00:00,1.9532760381698608,2.3006110191345215,1.931589961051941,2.224445104598999,639332,0.0,0.0
2024-09-25 00:00:00+00:00,2.224445104598999,2.2425479888916016,2.18025803565979,2.1840450763702393,328065,0.0,0.0
2024-09-26 00:00:00+00:00,2.1840450763702393,2.191162109375,1.4867939949035645,2.159173011779785,333493,0.0,0.0
2024-09-27 00:00:00+00:00,2.159173011779785,2.176461935043335,2.123383045196533,2.152787923812866,593021,0.0,0.0
2024-09-28 00:00:00+00:00,2.152787923812866,2.1584839820861816,2.1313319206237793,2.147674083709717,553630,0.0,0.0
2024-09-29 00:00:00+00:00,2.147674083709717,2.1507649421691895,2.1226439476013184,2.131756067276001,479627,0.0,0.0
2024-09-30 00:00:00+00:00,2.131756067276001,2.1416380405426025,2.11810302734375,2.1344430446624756,905032,0.0,0.0
2024-10-01 00:00:00+00:00,2.1344430446624756,2.1783390045166016,2.1203510761260986,2.133513927459717,538784,0.0,0.0
2024-10-02 00:00:00+00:00,2.133513927459717,2.135986089706421,2.104482889175415,2.1049909591674805,314624,0.0,0.0
2024-10-03 00:00:00+00:00,2.1049909591674805,2.1292269229888916,2.104672908782959,2.105288028717041,6545,0.0,0.0
2024-10-04 00:00:00+00:00,2.105288028717041,2.1328771114349365,2.1021978855133057,2.1131949424743652,9849,0.0,0.0
2024-10-05 00:00:00+00:00,2.1131949424743652,2.1390960216522217,2.10856294631958,2.1288790702819824,6578,0.0,0.0
2024-10-06 00:00:00+00:00,2.1288790702819824,2.1372270584106445,2.1017980575561523,2.114811897277832,11583,0.0,0.0
2024-10-07 00:00:00+00:00,2.114811897277832,2.138514995574951,2.107264995574951,2.13350510597229,10377,0.0,0.0
2024-10-08 00:00:00+00:00,2.13350510597229,2.1376709938049316,2.1098721027374268,2.125749111175537,7414,0.0,0.0
2024-10-09 00:00:00+00:00,2.125749111175537,2.1371099948883057,2.115561008453369,2.1238369941711426,11327,0.0,0.0
