TIMESTAMP,PAYU_OPEN_PRICE_USD,PAYU_HIGH_PRICE_USD,PAYU_LOW_PRICE_USD,PAYU_CLOSE_PRICE_USD,PAYU_VOLUME_USD,PAYU_DIVIDENDS_USD,PAYU_STOCK_SPLITS_USD
2023-05-23 00:00:00+00:00,,,,0.0,172087,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,68233,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,105041,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,107098,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,163203,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,654956,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,702119,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,469756,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,716660,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,342829,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,840553,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,1164052,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,682085,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,585223,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,538336,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,470182,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,429702,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,452061,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,438051,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,508674,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,501403,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,325935,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,304471,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,903109,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,1056813,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,920684,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,857332,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,919014,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,1099515,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,1301254,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,1135086,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,1299841,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,1200307,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,1229733,0.0,0.0
