TIMESTAMP,HOODRAT34883_OPEN_PRICE_USD,HOODRAT34883_HIGH_PRICE_USD,HOODRAT34883_LOW_PRICE_USD,HOODRAT34883_CLOSE_PRICE_USD,HOODRAT34883_VOLUME_USD,HOODRAT34883_DIVIDENDS_USD,HOODRAT34883_STOCK_SPLITS_USD
2025-02-20 00:00:00+00:00,5.199999941396527e-05,5.900000178371556e-05,5.0999999075429514e-05,5.900000178371556e-05,1579,0.0,0.0
2025-02-21 00:00:00+00:00,5.900000178371556e-05,7.100000220816582e-05,5.900000178371556e-05,6.800000119255856e-05,5281,0.0,0.0
2025-02-22 00:00:00+00:00,6.800000119255856e-05,8.199999865610152e-05,6.800000119255856e-05,6.900000153109431e-05,4498,0.0,0.0
2025-02-23 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,4.8999998398358e-05,4.8999998398358e-05,5062,0.0,0.0
2025-02-24 00:00:00+00:00,4.8999998398358e-05,5.0999999075429514e-05,4.400000034365803e-05,4.600000102072954e-05,1504,0.0,0.0
2025-02-25 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,3.7999998312443495e-05,3.899999865097925e-05,633,0.0,0.0
2025-02-26 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.7000001611886546e-05,3.7000001611886546e-05,253,0.0,0.0
2025-02-27 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.7000001611886546e-05,4.199999966658652e-05,1035,0.0,0.0
2025-02-28 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,4.099999932805076e-05,4.099999932805076e-05,519,0.0,0.0
2025-03-01 00:00:00+00:00,4.099999932805076e-05,4.999999873689376e-05,4.099999932805076e-05,4.8999998398358e-05,1154,0.0,0.0
2025-03-02 00:00:00+00:00,4.8999998398358e-05,5.2999999752501026e-05,4.8999998398358e-05,5.2999999752501026e-05,370,0.0,0.0
2025-03-03 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.999999873689376e-05,4.999999873689376e-05,504,0.0,0.0
2025-03-04 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,3.9999998989515007e-05,3.9999998989515007e-05,0,0.0,0.0
