TIMESTAMP,XMR_CLOSE_PRICE_USD,XMR_HIGH_PRICE_USD,XMR_LOW_PRICE_USD,XMR_OPEN_PRICE_USD,XMR_VOLUME_FROM_USD,XMR_VOLUME_TO_USD
2015-01-29,0.3107,0.35,0.3107,0.35,68.21,23.86
2015-01-30,0.3027,0.35,0.3027,0.3107,230.0,80.2
2015-01-31,0.2896,0.3027,0.2896,0.3027,82.1,24.55
2015-02-01,0.2896,0.2896,0.2896,0.2896,0.0,0.0
2015-02-02,0.3029,0.3035,0.2867,0.2896,59.58,17.89
2015-02-03,0.3311,0.36,0.3021,0.3029,254.39,90.77
2015-02-04,0.2922,0.3311,0.2755,0.3311,366.07,103.14
2015-02-05,0.2755,0.368,0.2727,0.2922,419.03,118.1
2015-02-06,0.2747,0.2767,0.2737,0.2755,119.43,32.88
2015-02-07,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-08,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-09,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-10,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-11,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-12,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-13,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-14,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-15,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-16,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-17,0.099,0.52,0.01,0.52,12.26,1.0
2015-02-18,0.099,0.099,0.099,0.099,0.0,0.0
2015-02-19,0.26,0.35,0.0886,0.099,171.26,41.34
2015-02-20,0.25,0.26,0.25,0.26,110.97,28.85
2015-02-21,0.25,0.25,0.25,0.25,0.0,0.0
2015-02-22,0.295,0.32,0.25,0.25,39.33,11.64
2015-02-23,0.35,0.35,0.295,0.295,150.8,48.56
2015-02-24,0.25,0.38,0.25,0.35,10.43,3.323
2015-02-25,0.25,0.25,0.25,0.25,0.001098,0.0002745
2015-02-26,0.25,0.38,0.25,0.25,0.263,0.0829
2015-02-27,0.25,0.25,0.25,0.25,0.02204,0.00551
2015-02-28,0.35,0.5499,0.25,0.25,40.3,16.51
2015-03-01,0.35,0.35,0.35,0.35,0.0,0.0
2015-03-02,0.5399,0.5399,0.35,0.35,1.019,0.5501
2015-03-03,0.497,0.5399,0.35,0.5399,0.4669,0.1756
2015-03-04,0.497,0.497,0.497,0.497,0.0,0.0
2015-03-05,0.26,0.497,0.26,0.497,0.0005611,0.0001459
2015-03-06,0.497,0.497,0.26,0.26,1.1,0.5469
2015-03-07,0.497,0.497,0.497,0.497,0.00261,0.001297
2015-03-08,0.497,0.497,0.26,0.497,0.4993,0.239
2015-03-09,0.25,0.5399,0.25,0.497,8.028,4.212
2015-03-10,0.5399,0.5399,0.25,0.25,0.02206,0.005515
2015-03-11,0.2611,0.8399,0.261,0.5399,21.82,5.799
2015-03-12,0.2611,0.2611,0.2611,0.2611,0.0,0.0
2015-03-13,0.8,0.81,0.2611,0.2611,4.123,3.281
2015-03-14,0.7998,0.8,0.6,0.8,22.21,13.32
2015-03-15,0.7998,0.7998,0.6,0.7998,0.051,0.03215
2015-03-16,0.4,0.7998,0.4,0.7998,13.72,10.95
2015-03-17,0.4,0.4,0.4,0.4,0.0,0.0
2015-03-18,0.4,0.4,0.4,0.4,0.0,0.0
2015-03-19,0.4,0.4,0.4,0.4,0.0,0.0
2015-03-20,0.4,0.4,0.4,0.4,0.002649,0.00106
2015-03-21,1.0,1.0,0.4,0.4,0.07555,0.06911
2015-03-22,0.2611,1.0,0.2611,1.0,3.33,2.293
2015-03-23,0.2611,0.2611,0.2611,0.2611,0.009012,0.002353
2015-03-24,0.278,0.878,0.2611,0.2611,0.04438,0.03645
2015-03-25,0.878,0.878,0.278,0.278,1.864,1.453
2015-03-26,0.278,0.878,0.278,0.878,0.03136,0.008719
2015-03-27,0.278,0.878,0.278,0.278,0.03321,0.02139
2015-03-28,0.878,0.878,0.278,0.278,0.1548,0.06532
2015-03-29,0.278,0.878,0.278,0.878,0.0102,0.002837
2015-03-30,0.85,0.878,0.278,0.278,3.573,3.066
2015-03-31,0.31,3.0,0.31,0.85,0.4199,0.4211
2015-04-01,0.33,0.33,0.31,0.31,0.008719,0.002877
2015-04-02,0.33,0.33,0.33,0.33,0.0,0.0
2015-04-03,0.33,0.33,0.33,0.33,0.0,0.0
2015-04-04,0.4,0.4,0.33,0.33,0.004532,0.001813
2015-04-05,0.34,1.0,0.33,0.4,30.0,11.67
2015-04-06,0.34,0.34,0.34,0.34,0.0009731,0.0003309
2015-04-07,0.34,0.34,0.34,0.34,0.0,0.0
2015-04-08,0.34,0.34,0.34,0.34,0.0,0.0
2015-04-09,1.0,1.0,0.35,0.35,0.004045,0.002096
2015-04-10,0.7955,1.0,0.35,1.0,20.91,16.34
2015-04-11,0.78,0.95,0.78,0.8,12.54,9.904
2015-04-12,0.92,0.94,0.78,0.78,0.2263,0.2104
2015-04-13,0.75,0.92,0.75,0.92,93.41,71.64
2015-04-14,0.5,0.75,0.5,0.75,57.08,40.7
2015-04-15,0.65,0.65,0.34,0.5,6.489,4.203
2015-04-16,0.72,0.72,0.65,0.65,0.3171,0.211
2015-04-17,0.72,0.72,0.65,0.72,13.31,9.271
2015-04-18,0.34,0.72,0.34,0.72,0.2406,0.1055
2015-04-19,0.34,0.34,0.34,0.34,0.0,0.0
2015-04-20,0.34,0.34,0.34,0.34,0.00987,0.003356
2015-04-21,0.34,0.72,0.34,0.34,0.3786,0.1917
2015-04-22,0.7,0.75,0.34,0.34,8.944,6.669
2015-04-23,0.719,0.75,0.34,0.7,12.12,5.58
2015-04-24,0.34,0.719,0.34,0.719,0.8723,0.3038
2015-04-25,0.34,0.34,0.34,0.34,0.0,0.0
2015-04-26,0.34,0.34,0.34,0.34,0.0,0.0
2015-04-27,0.59,0.59,0.34,0.34,1.082,0.3986
2015-04-28,0.59,0.59,0.59,0.59,0.0,0.0
2015-04-29,0.34,0.59,0.34,0.59,0.0722,0.02553
2015-04-30,0.34,0.34,0.34,0.34,0.1024,0.03481
2015-05-01,0.34,0.59,0.34,0.34,36.54,21.56
2015-05-02,0.34,0.579,0.34,0.34,0.8326,0.4729
2015-05-03,0.34,0.579,0.34,0.34,0.02989,0.0138
2015-05-04,0.34,0.34,0.34,0.34,2.054,0.6983
2015-05-05,0.34,0.579,0.34,0.34,12.12,4.985
2015-05-06,0.34,0.5789,0.34,0.34,0.6743,0.3051
2015-05-07,0.34,0.5789,0.34,0.34,0.2683,0.1038
2015-05-08,0.521,0.5789,0.34,0.34,4.893,2.752
2015-05-09,0.521,0.521,0.521,0.521,0.7646,0.3984
2015-05-10,0.45,0.521,0.45,0.521,0.01061,0.004772
2015-05-11,0.4,0.45,0.36,0.45,0.3863,0.1587
2015-05-12,0.5731,0.5731,0.4,0.4,0.03129,0.0154
2015-05-13,0.5731,0.5731,0.5731,0.5731,0.0,0.0
2015-05-14,0.41,0.5789,0.4,0.5731,8.807,4.005
2015-05-15,0.4975,0.58,0.41,0.41,28.05,15.74
2015-05-16,0.6368,0.6368,0.4975,0.4975,2.201,1.309
2015-05-17,0.5669,0.6368,0.56,0.6368,12.01,6.933
2015-05-18,0.4975,0.65,0.4975,0.5669,0.1661,0.08971
2015-05-19,0.51,0.51,0.4975,0.4975,9.257,4.721
2015-05-20,0.306,0.64,0.306,0.51,11.47,4.73
2015-05-21,0.5,0.6178,0.34,0.34,47.93,24.32
