TIMESTAMP,GUZUTA_OPEN_PRICE_USD,GUZUTA_HIGH_PRICE_USD,GUZUTA_LOW_PRICE_USD,GUZUTA_CLOSE_PRICE_USD,GUZUTA_VOLUME_USD,GUZUTA_DIVIDENDS_USD,GUZUTA_STOCK_SPLITS_USD
2024-07-24 00:00:00+00:00,,,,0.0,944309,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,1135236,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,594325,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,477345,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,1018579,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,714983,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,4845797,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,191235,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,156615,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,78985,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,31817,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,39444,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,43805,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,46085,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,68174,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,30194,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,15794,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,8707,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,27929,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,135165,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,181016,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,32083,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,29064,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,22398,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,23109,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,13150,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,26101,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,25909,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,22902,0.0,0.0
