TIMESTAMP,COR33545_OPEN_PRICE_USD,COR33545_HIGH_PRICE_USD,COR33545_LOW_PRICE_USD,COR33545_CLOSE_PRICE_USD,COR33545_VOLUME_USD,COR33545_DIVIDENDS_USD,COR33545_STOCK_SPLITS_USD
2024-10-21 00:00:00+00:00,0.0034539999905973673,0.0050559998489916325,0.0034539999905973673,0.004906000103801489,37003,0.0,0.0
2024-10-22 00:00:00+00:00,0.004906000103801489,0.005946999881416559,0.00431900005787611,0.00457700015977025,111099,0.0,0.0
2024-10-23 00:00:00+00:00,0.00457700015977025,0.0049390001222491264,0.0036879999097436666,0.0037559999618679285,32575,0.0,0.0
2024-10-24 00:00:00+00:00,0.003763000015169382,0.004234999883919954,0.003763000015169382,0.004234999883919954,20580,0.0,0.0
2024-10-25 00:00:00+00:00,0.004234999883919954,0.004526000004261732,0.004048999864608049,0.004048999864608049,13087,0.0,0.0
2024-10-26 00:00:00+00:00,0.004048999864608049,0.004174999892711639,0.0034990001004189253,0.003604999976232648,20623,0.0,0.0
2024-10-27 00:00:00+00:00,0.003604999976232648,0.0036150000523775816,0.003065000055357814,0.0032909999135881662,21169,0.0,0.0
2024-10-28 00:00:00+00:00,0.0032909999135881662,0.0032909999135881662,0.0027570000384002924,0.0028069999534636736,18924,0.0,0.0
2024-10-29 00:00:00+00:00,0.0028069999534636736,0.003837999887764454,0.0028069999534636736,0.003837999887764454,29338,0.0,0.0
2024-10-30 00:00:00+00:00,0.003837999887764454,0.003886000020429492,0.0036009999457746744,0.0038129999302327633,9352,0.0,0.0
2024-10-31 00:00:00+00:00,0.0038129999302327633,0.003831000067293644,0.003183000022545457,0.003183000022545457,15491,0.0,0.0
2024-11-01 00:00:00+00:00,0.003183000022545457,0.004118999931961298,0.0031739999540150166,0.003367000026628375,28130,0.0,0.0
2024-11-02 00:00:00+00:00,0.003367000026628375,0.003404000075533986,0.0032709999941289425,0.0033360000234097242,5713,0.0,0.0
