TIMESTAMP,TGRAM_OPEN_PRICE_USD,TGRAM_HIGH_PRICE_USD,TGRAM_LOW_PRICE_USD,TGRAM_CLOSE_PRICE_USD,TGRAM_VOLUME_USD,TGRAM_DIVIDENDS_USD,TGRAM_STOCK_SPLITS_USD
2024-03-26 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,2.5999999706982635e-05,3.199999991920777e-05,684092,0.0,0.0
2024-03-27 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,2.5999999706982635e-05,2.700000004551839e-05,490273,0.0,0.0
2024-03-28 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.4000000848900527e-05,2.9999999242136255e-05,675269,0.0,0.0
2024-03-29 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.700000004551839e-05,2.8000000384054147e-05,581704,0.0,0.0
2024-03-30 00:00:00+00:00,2.8000000384054147e-05,3.300000025774352e-05,2.8000000384054147e-05,3.199999991920777e-05,591189,0.0,0.0
2024-03-31 00:00:00+00:00,3.199999991920777e-05,3.7999998312443495e-05,2.700000004551839e-05,3.7999998312443495e-05,809557,0.0,0.0
2024-04-01 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,2.9999999242136255e-05,3.300000025774352e-05,829897,0.0,0.0
2024-04-02 00:00:00+00:00,3.300000025774352e-05,3.7000001611886546e-05,2.9999999242136255e-05,3.400000059627928e-05,700002,0.0,0.0
2024-04-03 00:00:00+00:00,3.400000059627928e-05,4.8000001697801054e-05,3.300000025774352e-05,4.400000034365803e-05,906580,0.0,0.0
2024-04-04 00:00:00+00:00,4.400000034365803e-05,6.0999998822808266e-05,4.400000034365803e-05,4.999999873689376e-05,1178220,0.0,0.0
2024-04-05 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.199999966658652e-05,4.400000034365803e-05,814014,0.0,0.0
2024-04-06 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,2.9999999242136255e-05,3.899999865097925e-05,1046052,0.0,0.0
2024-04-07 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.400000059627928e-05,3.5000000934815034e-05,696932,0.0,0.0
2024-04-08 00:00:00+00:00,3.5000000934815034e-05,4.600000102072954e-05,3.400000059627928e-05,3.9999998989515007e-05,873960,0.0,0.0
2024-04-09 00:00:00+00:00,3.9999998989515007e-05,4.3000000005122274e-05,3.400000059627928e-05,3.7000001611886546e-05,864023,0.0,0.0
2024-04-10 00:00:00+00:00,3.7000001611886546e-05,4.5000000682193786e-05,3.600000127335079e-05,3.899999865097925e-05,745215,0.0,0.0
2024-04-11 00:00:00+00:00,3.899999865097925e-05,5.199999941396527e-05,3.7000001611886546e-05,4.199999966658652e-05,994022,0.0,0.0
2024-04-12 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,2.700000004551839e-05,3.5000000934815034e-05,637210,0.0,0.0
2024-04-13 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.499999936844688e-05,2.8000000384054147e-05,581151,0.0,0.0
