TIMESTAMP,KINGNEIRO_OPEN_PRICE_USD,KINGNEIRO_HIGH_PRICE_USD,KINGNEIRO_LOW_PRICE_USD,KINGNEIRO_CLOSE_PRICE_USD,KINGNEIRO_VOLUME_USD,KINGNEIRO_DIVIDENDS_USD,KINGNEIRO_STOCK_SPLITS_USD
2024-10-25 00:00:00+00:00,,,,0.0,87165,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,196128,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,111581,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,28195,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,30090,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,3977,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,1010,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,656,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,683,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,1809,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,946,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,1513,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,616,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,438,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,373,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,1973,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,356,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,561,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,268,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,1105,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,862,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,421,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,233,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,2963,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,290,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,493,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,1055,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,540,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,414,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,240,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,689,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,635,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,1844,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,471,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,92,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,543,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,219,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,276,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,120,0.0,0.0
2024-12-03 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,136,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,192,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,88,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,35,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,175,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,65,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,57,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,79,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,49,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,10,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,123,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,29,0.0,0.0
