TIMESTAMP,MARI_OPEN_PRICE_USD,MARI_HIGH_PRICE_USD,MARI_LOW_PRICE_USD,MARI_CLOSE_PRICE_USD,MARI_VOLUME_USD,MARI_DIVIDENDS_USD,MARI_STOCK_SPLITS_USD
2024-08-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,338406,0.0,0.0
2024-08-17 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,314677,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,477695,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,99702,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,8997,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,3373,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,954,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,4055,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,7642,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,2547,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,1164,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,4270,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,295,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,263,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,179,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,397,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,1019,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,1025,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,495,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,60,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,323,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,879,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,1147,0.0,0.0
2024-09-10 00:00:00+00:00,,,,0.0,49,0.0,0.0
2024-09-11 00:00:00+00:00,,,,0.0,85,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,32,0.0,0.0
2024-09-13 00:00:00+00:00,,,,0.0,54,0.0,0.0
2024-09-14 00:00:00+00:00,,,,0.0,632,0.0,0.0
2024-09-15 00:00:00+00:00,,,,0.0,540,0.0,0.0
