TIMESTAMP,FREYA_OPEN_PRICE_USD,FREYA_HIGH_PRICE_USD,FREYA_LOW_PRICE_USD,FREYA_CLOSE_PRICE_USD,FREYA_VOLUME_USD,FREYA_DIVIDENDS_USD,FREYA_STOCK_SPLITS_USD
2025-02-21 00:00:00+00:00,0.01078999973833561,0.011660000309348106,0.008333000354468822,0.008833999745547771,200964,0.0,0.0
2025-02-22 00:00:00+00:00,0.008833999745547771,0.010191000066697598,0.00865199975669384,0.009712999686598778,123731,0.0,0.0
2025-02-23 00:00:00+00:00,0.009712999686598778,0.010068999603390694,0.008243000134825706,0.009037000127136707,166327,0.0,0.0
2025-02-24 00:00:00+00:00,0.009037000127136707,0.009782999753952026,0.007288999855518341,0.007290999870747328,169987,0.0,0.0
2025-02-25 00:00:00+00:00,0.007290999870747328,0.008065000176429749,0.00635599996894598,0.0078959995880723,216087,0.0,0.0
2025-02-26 00:00:00+00:00,0.0078959995880723,0.010623999871313572,0.0075090001337230206,0.00901000015437603,184750,0.0,0.0
2025-02-27 00:00:00+00:00,0.00901000015437603,0.009162000380456448,0.0001289999927394092,0.00021100000594742596,970637,0.0,0.0
2025-02-28 00:00:00+00:00,0.00021100000594742596,0.00021499999274965376,0.00014200000441633165,0.00014800000644754618,94567,0.0,0.0
2025-03-01 00:00:00+00:00,0.00014800000644754618,0.0001630000042496249,0.00013299999409355223,0.0001500000071246177,81710,0.0,0.0
2025-03-02 00:00:00+00:00,0.0001500000071246177,0.00015199999324977398,0.00010199999815085903,0.00011899999663000926,82643,0.0,0.0
2025-03-03 00:00:00+00:00,0.00011899999663000926,0.00011899999663000926,8.499999967170879e-05,8.600000001024455e-05,72969,0.0,0.0
2025-03-04 00:00:00+00:00,8.600000001024455e-05,8.70000003487803e-05,5.900000178371556e-05,6.399999983841553e-05,68756,0.0,0.0
2025-03-05 00:00:00+00:00,6.399999983841553e-05,6.800000119255856e-05,6.0999998822808266e-05,6.399999983841553e-05,70042,0.0,0.0
2025-03-06 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.6000000768108293e-05,5.700000110664405e-05,71632,0.0,0.0
2025-03-07 00:00:00+00:00,5.700000110664405e-05,6.299999949987978e-05,5.400000009103678e-05,5.8000001445179805e-05,66826,0.0,0.0
2025-03-08 00:00:00+00:00,5.8000001445179805e-05,5.999999848427251e-05,5.500000042957254e-05,5.500000042957254e-05,66934,0.0,0.0
2025-03-09 00:00:00+00:00,5.500000042957254e-05,5.8000001445179805e-05,4.8999998398358e-05,4.8999998398358e-05,66931,0.0,0.0
2025-03-10 00:00:00+00:00,4.8999998398358e-05,5.199999941396527e-05,4.400000034365803e-05,4.600000102072954e-05,67841,0.0,0.0
2025-03-11 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,4.099999932805076e-05,4.3000000005122274e-05,67563,0.0,0.0
2025-03-12 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,3.5000000934815034e-05,3.600000127335079e-05,70274,0.0,0.0
2025-03-13 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,3.400000059627928e-05,3.5000000934815034e-05,68138,0.0,0.0
2025-03-14 00:00:00+00:00,3.5000000934815034e-05,4.099999932805076e-05,3.5000000934815034e-05,4.099999932805076e-05,68530,0.0,0.0
