TIMESTAMP,FROG29980_OPEN_PRICE_USD,FROG29980_HIGH_PRICE_USD,FROG29980_LOW_PRICE_USD,FROG29980_CLOSE_PRICE_USD,FROG29980_VOLUME_USD,FROG29980_DIVIDENDS_USD,FROG29980_STOCK_SPLITS_USD
2024-03-21 00:00:00+00:00,9.500000305706635e-05,0.00012099999730708078,3.7000001611886546e-05,3.7000001611886546e-05,7060440,0.0,0.0
2024-03-22 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.600000127335079e-05,3.7999998312443495e-05,1623133,0.0,0.0
2024-03-23 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.199999991920777e-05,3.199999991920777e-05,808181,0.0,0.0
2024-03-24 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.199999991920777e-05,369231,0.0,0.0
2024-03-25 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.099999958067201e-05,589411,0.0,0.0
2024-03-26 00:00:00+00:00,3.099999958067201e-05,3.5000000934815034e-05,2.8000000384054147e-05,3.5000000934815034e-05,843786,0.0,0.0
2024-03-27 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.199999991920777e-05,3.199999991920777e-05,488326,0.0,0.0
2024-03-28 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,806888,0.0,0.0
2024-03-29 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9000000722589903e-05,2.9999999242136255e-05,470434,0.0,0.0
2024-03-30 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,203576,0.0,0.0
2024-03-31 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,70737,0.0,0.0
2024-04-01 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,207445,0.0,0.0
2024-04-02 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,172502,0.0,0.0
2024-04-03 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.700000004551839e-05,285241,0.0,0.0
2024-04-04 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,154205,0.0,0.0
2024-04-05 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.499999936844688e-05,48591,0.0,0.0
2024-04-06 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.300000051036477e-05,2.300000051036477e-05,217871,0.0,0.0
2024-04-07 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,31694,0.0,0.0
2024-04-08 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,12616,0.0,0.0
2024-04-09 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,12841,0.0,0.0
2024-04-10 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,15899,0.0,0.0
2024-04-11 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,31439,0.0,0.0
2024-04-12 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8000000636675395e-05,1.9999999494757503e-05,209931,0.0,0.0
2024-04-13 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.700000029813964e-05,1.9999999494757503e-05,64108,0.0,0.0
2024-04-14 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,63476,0.0,0.0
2024-04-15 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.700000029813964e-05,1.700000029813964e-05,169669,0.0,0.0
2024-04-16 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,28633,0.0,0.0
2024-04-17 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,827,0.0,0.0
2024-04-18 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,645,0.0,0.0
2024-04-19 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,815,0.0,0.0
2024-04-20 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,5932,0.0,0.0
2024-04-21 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1041,0.0,0.0
2024-04-22 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,1530,0.0,0.0
2024-04-23 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,718,0.0,0.0
2024-04-24 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,1760,0.0,0.0
