TIMESTAMP,PINU25604_OPEN_PRICE_USD,PINU25604_HIGH_PRICE_USD,PINU25604_LOW_PRICE_USD,PINU25604_CLOSE_PRICE_USD,PINU25604_VOLUME_USD,PINU25604_DIVIDENDS_USD,PINU25604_STOCK_SPLITS_USD
2023-05-22 00:00:00+00:00,,,,0.0,6813,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,2685,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,2144,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,1420,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,1696,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,837,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,1641,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,1228,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,689,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,128,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,507,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,186,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,627,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,39,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,397,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,285,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,91,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,73,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,264,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,24,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,97,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,162,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,149,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,12,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,80,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,361,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,447,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,465,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,174,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,163,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,75,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,145,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,466,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,22,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,181,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,406,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,235,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,277,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,102,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,63,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,87,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,319,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,1468,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,1149,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,157,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,202,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,454,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,323,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,250,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,220,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,714,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,816,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,126,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,418,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,165,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,360,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,2118,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,3573,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,140,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,190,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,116,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,5,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,39,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,36,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,93,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,171,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,196,0.0,0.0
2023-07-28 00:00:00+00:00,,,,0.0,121,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,38,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,29,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,424,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,163,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,73,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,397,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,35,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,15,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,15,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,10,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,13,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,6,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,62,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,65,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,103,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,43,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,5,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,45,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,45,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,113,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,1317,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,88,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,23,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,6,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,7,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,99,0.0,0.0
