,LTC,Lag
LSK,0.0001255043760744,28
DOGE,0.0001315291904004,26
QTUM,0.000187821262757,19
ETH,0.0004467056240317,30
PIVX,0.0006279291746736,30
XRP,0.0011588096880724,11
XMR,0.0014415477072706,4
ETC,0.0031125591780375,26
KMD,0.005648909424327,6
GNO,0.0096840093869753,3
ZEN,0.019162805540475,30
ARK,0.0198840934795858,25
XLM,0.0291441391260674,1
XEM,0.0400856712572715,7
WAVES,0.0403872964218011,6
BAT,0.0535513192668217,10
FIRO,0.0672733552619993,15
BTS,0.0696133784224357,4
BTC,0.0737893505293604,3
STEEM,0.0942634944070634,17
DGB,0.1120866499560562,9
RLC,0.1148510745882245,5
DCR,0.1192280541792256,17
SYS,0.1276349454965628,22
GAS,0.1294684227682854,1
SC,0.1326868926710774,5
ZEC,0.1454247999282201,1
DASH,0.2921044378902344,6
LUNC,0.3071067638248678,3
ANT,0.3342766105400697,6
MIOTA,0.3945392198211427,29
