,LTC
QTUM,0.0019595163648712705
XMR,0.017727743107941885
LSK,0.02151363797901649
ETH,0.02297026264802828
PIVX,0.037573816351244474
KMD,0.04251286481437128
DOGE,0.0527405229351222
ETC,0.05280534808803551
ARK,0.053058956601915265
XEM,0.12202688295729616
GNO,0.12279641796544641
ZEN,0.14856326867371047
XRP,0.1563702397056829
XLM,0.17154065457150375
WAVES,0.21190231971582268
FIRO,0.2232820047693152
BTS,0.27040282314320685
BAT,0.29279521895017113
BTC,0.296244266503224
DGB,0.32609509618898463
STEEM,0.3572243666365015
SYS,0.36343362555902053
SC,0.3637947682604026
DCR,0.4131151039464125
RLC,0.41831951437195297
DASH,0.5248834350966245
GAS,0.588156439178901
ZEC,0.5894469078321661
ANT,0.6125545792012207
LUNC,0.6356568012080194
MIOTA,0.7124775393982653
