TIMESTAMP,YU36194_OPEN_PRICE_USD,YU36194_HIGH_PRICE_USD,YU36194_LOW_PRICE_USD,YU36194_CLOSE_PRICE_USD,YU36194_VOLUME_USD,YU36194_DIVIDENDS_USD,YU36194_STOCK_SPLITS_USD
2025-04-21 00:00:00+00:00,0.00020199999562464654,0.00020300000323913991,0.00018400000408291817,0.00018899999849963933,221726,0.0,0.0
2025-04-22 00:00:00+00:00,0.00018899999849963933,0.00018899999849963933,0.0001610000035725534,0.0001630000042496249,193430,0.0,0.0
2025-04-23 00:00:00+00:00,0.0001630000042496249,0.00018400000408291817,0.0001610000035725534,0.00017800000205170363,212930,0.0,0.0
2025-04-24 00:00:00+00:00,0.00017800000205170363,0.00017899999511428177,0.00015199999324977398,0.00015300000086426735,205113,0.0,0.0
2025-04-25 00:00:00+00:00,0.00015300000086426735,0.00015300000086426735,0.00011700000322889537,0.00011700000322889537,195965,0.0,0.0
2025-04-26 00:00:00+00:00,0.00011700000322889537,0.00011800000356743112,0.00011500000255182385,0.00011500000255182385,179840,0.0,0.0
2025-04-27 00:00:00+00:00,0.00011500000255182385,0.00011600000289035961,0.00010099999781232327,0.00010199999815085903,180040,0.0,0.0
2025-04-28 00:00:00+00:00,0.00010199999815085903,0.00010199999815085903,8.70000003487803e-05,8.800000068731606e-05,197870,0.0,0.0
2025-04-29 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,8.099999831756577e-05,8.199999865610152e-05,197202,0.0,0.0
2025-04-30 00:00:00+00:00,8.199999865610152e-05,8.199999865610152e-05,7.100000220816582e-05,8.099999831756577e-05,202975,0.0,0.0
2025-05-01 00:00:00+00:00,8.099999831756577e-05,0.00010099999781232327,8.099999831756577e-05,9.899999713525176e-05,214325,0.0,0.0
2025-05-02 00:00:00+00:00,9.899999713525176e-05,9.899999713525176e-05,9.000000136438757e-05,9.200000204145908e-05,135400,0.0,0.0
2025-05-03 00:00:00+00:00,9.200000204145908e-05,9.699999645818025e-05,9.200000204145908e-05,9.200000204145908e-05,139628,0.0,0.0
2025-05-04 00:00:00+00:00,9.200000204145908e-05,9.699999645818025e-05,9.100000170292333e-05,9.699999645818025e-05,193626,0.0,0.0
2025-05-05 00:00:00+00:00,9.699999645818025e-05,9.7999996796716e-05,9.200000204145908e-05,9.200000204145908e-05,178400,0.0,0.0
2025-05-06 00:00:00+00:00,9.200000204145908e-05,9.7999996796716e-05,9.100000170292333e-05,9.200000204145908e-05,215513,0.0,0.0
2025-05-07 00:00:00+00:00,9.200000204145908e-05,0.00010199999815085903,9.200000204145908e-05,9.899999713525176e-05,199912,0.0,0.0
2025-05-08 00:00:00+00:00,9.899999713525176e-05,9.899999713525176e-05,9.100000170292333e-05,9.100000170292333e-05,187650,0.0,0.0
2025-05-09 00:00:00+00:00,9.100000170292333e-05,9.200000204145908e-05,8.600000001024455e-05,8.800000068731606e-05,189088,0.0,0.0
2025-05-10 00:00:00+00:00,8.800000068731606e-05,8.800000068731606e-05,8.800000068731606e-05,8.800000068731606e-05,141320,0.0,0.0
2025-05-11 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,8.800000068731606e-05,8.800000068731606e-05,142825,0.0,0.0
2025-05-12 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,8.199999865610152e-05,8.299999899463728e-05,168957,0.0,0.0
2025-05-13 00:00:00+00:00,8.299999899463728e-05,8.70000003487803e-05,8.199999865610152e-05,8.199999865610152e-05,195943,0.0,0.0
2025-05-14 00:00:00+00:00,8.199999865610152e-05,0.00010699999984353781,8.099999831756577e-05,0.0001049999991664663,261138,0.0,0.0
2025-05-15 00:00:00+00:00,0.0001049999991664663,0.00010599999950500205,0.00010099999781232327,0.00010599999950500205,189094,0.0,0.0
