TIMESTAMP,BTC_OPEN_PRICE_USD,BTC_HIGH_PRICE_USD,BTC_LOW_PRICE_USD,BTC_CLOSE_PRICE_USD,BTC_FIRST_TRADE_PRICE_USD,BTC_HIGH_TRADE_PRICE_USD,BTC_LOW_TRADE_PRICE_USD,BTC_LAST_TRADE_PRICE_USD,BTC_TOTAL_TRADE_COUNT,BTC_TOTAL_TRADES_BUY,BTC_TOTAL_TRADES_SELL,BTC_VOLUME_USD,BTC_QUOTE_VOLUME,BTC_VOLUME_BUY,BTC_QUOTE_VOLUME_BUY,BTC_VOLUME_SELL,BTC_QUOTE_VOLUME_SELL,BTC_MARKET_CAP_USD_PER_BLOCKCHAIN,BTC_SUPPLY_PER_BLOCKCHAIN
2017-08-17 04:00:00,4261.48,4485.39,4261.32,4352.34,4261.48,4485.39,4261.32,4352.34,1440,964,476,320.270748,1409934.28899719,247.985493,1092121.23112584,72.285255,317813.05787135,,
2017-08-17 16:00:00,4352.34,4369.69,4134.61,4292.39,4352.34,4369.69,4134.61,4292.39,3023,2205,818,751.072672,3220641.3361244,582.918618,2501673.2234747,168.154054,718968.1126497,,
2017-08-18 04:00:00,4292.39,4371.52,4193.7,4236.89,4292.39,4371.52,4193.7,4236.89,2712,2021,691,620.498542,2659009.11796895,517.830743,2218854.16689871,102.667799,440154.95107024,,
2017-08-18 16:00:00,4236.89,4297.75,3938.77,4138.55,4234.54,4297.75,3938.77,4138.55,2070,1700,370,411.707127,1701495.03604764,332.781571,1377352.74017556,78.925556,324142.29587208,,
2017-08-19 04:00:00,4138.55,4156.0,3850.0,3972.05,4138.5,4156.0,3850.0,3972.05,1294,911,383,237.523699,957355.0591125,154.71337,625036.90036851,82.810329,332318.15874399,,
2017-08-19 16:00:00,3972.05,4149.99,3953.4,4094.62,4036.19,4149.99,3953.4,4094.62,353,287,66,41.886899,169867.57786454,32.981883,133911.27389778,8.905016,35956.30396676,,
2017-08-20 04:00:00,4094.62,4211.08,4032.62,4125.0,4094.62,4211.08,4032.62,4125.0,671,419,252,93.737119,385488.24376699,62.738128,258101.98094695,30.998991,127386.26282004,,
2017-08-20 16:00:00,4125.0,4185.94,4039.0,4084.76,4125.0,4185.94,4039.0,4084.76,2502,1936,566,587.572763,2419402.25492665,500.684976,2061118.20646017,86.887787,358284.04846648,,
2017-08-21 04:00:00,4084.76,4104.68,3911.79,4022.0,4079.26,4104.68,3911.79,4022.0,2133,1260,873,345.216239,1390536.28530217,260.733721,1051217.60937412,84.482518,339318.67592805,,
2017-08-21 16:00:00,4022.0,4070.49,3688.97,3862.39,4005.99,4070.49,3688.97,3862.39,1639,1308,331,240.374024,947823.56827262,183.443574,725387.5191839,56.93045,222436.04908872,,
2017-08-22 04:00:00,3862.39,3990.12,3400.0,3858.23,3863.0,3990.12,3400.0,3858.23,3872,1161,2711,568.311176,2180108.54593198,290.092874,1111801.17170884,278.218302,1068307.37422314,,
2017-08-22 16:00:00,3858.23,4127.99,3853.47,4100.41,3858.23,4127.99,3853.47,4100.41,2888,535,2353,443.34672,1780658.26214177,78.11607,314822.99604876,365.23065,1465835.26609301,,
