TIMESTAMP,SAUDIBONK_OPEN_PRICE_USD,SAUDIBONK_HIGH_PRICE_USD,SAUDIBONK_LOW_PRICE_USD,SAUDIBONK_CLOSE_PRICE_USD,SAUDIBONK_VOLUME_USD,SAUDIBONK_DIVIDENDS_USD,SAUDIBONK_STOCK_SPLITS_USD
2024-01-23 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,36837,0.0,0.0
2024-01-24 00:00:00+00:00,7.000000096013537e-06,1.1000000085914508e-05,6.000000212225132e-06,1.1000000085914508e-05,604007,0.0,0.0
2024-01-25 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,4.999999873689376e-06,6.000000212225132e-06,1421140,0.0,0.0
2024-01-26 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,2912492,0.0,0.0
2024-01-27 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,4182894,0.0,0.0
2024-01-28 00:00:00+00:00,6.000000212225132e-06,6.0999998822808266e-05,6.000000212225132e-06,1.8999999156221747e-05,4933845,0.0,0.0
2024-01-29 00:00:00+00:00,1.9999999494757503e-05,4.400000034365803e-05,7.000000096013537e-06,7.000000096013537e-06,1733743,0.0,0.0
2024-01-30 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,3.999999989900971e-06,4.999999873689376e-06,315816,0.0,0.0
2024-01-31 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,3.999999989900971e-06,6.000000212225132e-06,830236,0.0,0.0
2024-02-01 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,1610758,0.0,0.0
2024-02-02 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,1711629,0.0,0.0
2024-02-03 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,0.0,4.999999873689376e-06,6445840,0.0,0.0
2024-02-04 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,4071278,0.0,0.0
2024-02-05 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,990155,0.0,0.0
2024-02-06 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,47785,0.0,0.0
2024-02-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,41923,0.0,0.0
2024-02-08 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,37965,0.0,0.0
2024-02-09 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,45092,0.0,0.0
2024-02-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,30489,0.0,0.0
2024-02-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,30744,0.0,0.0
2024-02-12 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,56949,0.0,0.0
2024-02-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,29190,0.0,0.0
2024-02-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,32276,0.0,0.0
2024-02-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,35968,0.0,0.0
2024-02-16 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,28217,0.0,0.0
2024-02-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,29509,0.0,0.0
2024-02-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,25083,0.0,0.0
2024-02-19 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,36196,0.0,0.0
2024-02-20 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,43865,0.0,0.0
2024-02-21 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,24381,0.0,0.0
2024-02-22 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,25569,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,3284,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,3613,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,1200,0.0,0.0
2024-02-26 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,3952,0.0,0.0
2024-02-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1997,0.0,0.0
2024-02-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,892,0.0,0.0
