TIMESTAMP,BUILT_OPEN_PRICE_USD,BUILT_HIGH_PRICE_USD,BUILT_LOW_PRICE_USD,BUILT_CLOSE_PRICE_USD,BUILT_VOLUME_USD,BUILT_DIVIDENDS_USD,BUILT_STOCK_SPLITS_USD
2025-03-12 00:00:00+00:00,4.199999966658652e-05,4.8999998398358e-05,4.099999932805076e-05,4.8000001697801054e-05,0,0.0,0.0
2025-03-13 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-14 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.70000013592653e-05,4.8999998398358e-05,362,0.0,0.0
2025-03-15 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.8999998398358e-05,4.999999873689376e-05,0,0.0,0.0
2025-03-16 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-17 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.5000000682193786e-05,4.5000000682193786e-05,0,0.0,0.0
2025-03-18 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.3000000005122274e-05,4.400000034365803e-05,0,0.0,0.0
2025-03-19 00:00:00+00:00,4.400000034365803e-05,4.8000001697801054e-05,4.400000034365803e-05,4.8000001697801054e-05,0,0.0,0.0
2025-03-20 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.400000034365803e-05,4.400000034365803e-05,454,0.0,0.0
2025-03-21 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,4.400000034365803e-05,4.400000034365803e-05,0,0.0,0.0
2025-03-22 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,2.499999936844688e-05,3.300000025774352e-05,0,0.0,0.0
2025-03-23 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.099999958067201e-05,3.199999991920777e-05,1654,0.0,0.0
2025-03-24 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.199999991920777e-05,3.300000025774352e-05,277,0.0,0.0
2025-03-25 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,3.300000025774352e-05,3.400000059627928e-05,0,0.0,0.0
2025-03-26 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.099999958067201e-05,3.099999958067201e-05,29,0.0,0.0
2025-03-27 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,3.099999958067201e-05,3.199999991920777e-05,0,0.0,0.0
2025-03-28 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9000000722589903e-05,2.9000000722589903e-05,0,0.0,0.0
2025-03-29 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9000000722589903e-05,167,0.0,0.0
2025-03-30 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,0,0.0,0.0
2025-03-31 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,0,0.0,0.0
2025-04-01 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,0,0.0,0.0
2025-04-02 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05,0,0.0,0.0
2025-04-03 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.499999936844688e-05,2.5999999706982635e-05,29,0.0,0.0
2025-04-04 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,0,0.0,0.0
