,ETH,Lag
DIME,4.290008638562247e-07,29
WYZ,5.410613130593695e-07,30
ACES,2.2430160635033928e-05,28
UNIT,5.184655979844201e-05,20
TAJ,9.376780030006362e-05,6
EUC,0.000145105584995,2
PXI,0.0001473396702639,29
SKULL,0.0002098238028502,7
GRS,0.0002210920517186,29
SWING,0.0002400967719271,28
COOL,0.0003507826007031,17
VLT,0.0005861969981608,30
IMS,0.0007425777246948,22
XEM,0.0009319616973134,27
VEC2,0.0011598403725563,30
EVIL,0.0019919425220481,23
XWC,0.0020732476729056,24
DOGE,0.0031243635335065,26
TRST,0.003389310130663,26
RBT,0.0045098608481328,30
USDT,0.005349337552581,16
GBYTE,0.0054957293242909,22
SPR,0.0069715326450123,9
ETC,0.0075324281888548,29
IFC,0.0094061030860917,22
HBD,0.0098816306919298,28
QTUM,0.0098936973858147,27
PXC,0.0105988706354764,26
KOBO,0.0106069119253325,7
FIRO,0.0107330057130108,13
WBB,0.0109851274605579,29
LTCR,0.0115317593992454,30
ENT,0.0124774494556086,23
CJ,0.0134526417352161,21
MONA,0.015959389563987,28
ZCL,0.0178121417237578,14
FRN,0.0210792279322755,29
WAVES,0.0216398710041249,30
XMS,0.0233337076277778,24
ZET,0.0246940921145468,29
GAS,0.0267688103803296,2
VIDZ,0.0279108761112405,27
SC,0.0286452713166191,30
DGB,0.028794264390741,30
ZUR,0.0298233024516898,24
MOTO,0.0305327538992557,20
GNO,0.0307611144696483,20
BTC,0.0316487599148096,28
ZEN,0.0342481236127306,27
NETKO,0.0354141902928605,30
SXC,0.0356423635976585,21
IBANK,0.0356539572680783,5
IRL,0.0385149422329886,25
CREVA,0.0395023183117511,10
PIVX,0.0395112895816294,20
LTC,0.0405595626261409,28
ACOIN,0.040640222945455,3
MST,0.0419434979690607,2
CAB,0.0433080094273124,30
OPAL,0.0452217616884781,3
TAB,0.0468507605599656,25
BERN,0.0506108866310406,15
BLAZR,0.0507229696188651,3
XRP,0.0508534384670888,19
SYS,0.0519795110300916,16
WDC,0.0530635683316737,28
XPM,0.0542640705682502,17
CARBON,0.0573549387303453,3
LSK,0.0575559458483092,9
IOTA,0.0593320953577691,5
NMC,0.0597285238358925,4
KMD,0.0603643204479293,7
BLK,0.0612932934365991,23
XHI,0.0619749086813935,24
NYC,0.0637986312280215,2
XPY,0.0680445112013072,4
AV,0.07214448802933,29
ADZ,0.0727255377225816,18
XMR,0.0738153828731393,30
KURT,0.075676490744313,28
NOBL,0.0796875874178631,28
LAMB,0.0797229908270827,6
NEWB,0.0809736138875479,8
POST,0.0834735409114691,24
BTS,0.0834843221322816,7
AMBER,0.0889070110208988,2
START,0.0902698574040253,30
C2,0.0975820252012208,20
RLC,0.0994921939630628,16
LUNC,0.1011750129435718,30
STEEM,0.1031728525781075,29
QTZ,0.1039848849188702,2
ICON,0.1048550211774563,22
XLM,0.1057915177956279,9
2GIVE,0.1068234262608393,23
DCR,0.1124748678101006,23
CSC,0.1163453496593904,29
