TIMESTAMP,CATX31291_OPEN_PRICE_USD,CATX31291_HIGH_PRICE_USD,CATX31291_LOW_PRICE_USD,CATX31291_CLOSE_PRICE_USD,CATX31291_VOLUME_USD,CATX31291_DIVIDENDS_USD,CATX31291_STOCK_SPLITS_USD
2024-05-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,55929,0.0,0.0
2024-05-18 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,81085,0.0,0.0
2024-05-19 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,17094,0.0,0.0
2024-05-20 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,92121,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,77323,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,53939,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,64837,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,710,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,455,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,179,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,226,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,62,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,74,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,2669,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,2414,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,147,0.0,0.0
2024-06-03 00:00:00+00:00,,,,0.0,121,0.0,0.0
2024-06-04 00:00:00+00:00,,,,0.0,77,0.0,0.0
2024-06-05 00:00:00+00:00,,,,0.0,1403,0.0,0.0
2024-06-06 00:00:00+00:00,,,,0.0,165,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,123,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-06-13 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-06-14 00:00:00+00:00,,,,0.0,611,0.0,0.0
2024-06-15 00:00:00+00:00,,,,0.0,1243,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,1515,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,1494,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,17,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,1828,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,668,0.0,0.0
2024-06-21 00:00:00+00:00,0.0,1.2000000424450263e-05,0.0,1.2000000424450263e-05,67141,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,174888,0.0,0.0
2024-06-23 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,92906,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,126066,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,99563,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,118709,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,254261,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,2161,0.0,0.0
