TIMESTAMP,RUNE_OPEN_PRICE_USD,RUNE_HIGH_PRICE_USD,RUNE_LOW_PRICE_USD,RUNE_CLOSE_PRICE_USD
2019-12-18,0.0515,0.0696,0.04935,0.06748
2019-12-19,0.06748,0.09115,0.06346,0.08728
2019-12-20,0.08728,0.09059,0.08082,0.08718
2019-12-21,0.08718,0.09059,0.08173,0.08382
2019-12-22,0.08382,0.09055,0.07042,0.07862
2019-12-23,0.07862,0.0817,0.05071,0.07175
2019-12-24,0.07175,0.07309,0.0635,0.07128
2019-12-25,0.07128,0.07138,0.06506,0.06807
2019-12-26,0.06807,0.07089,0.06534,0.06665
2019-12-27,0.06665,0.07715,0.06113,0.07505
2019-12-28,0.07505,0.08178,0.0678,0.06906
2019-12-29,0.06906,0.07128,0.05674,0.05935
2019-12-30,0.05935,0.06867,0.05677,0.06249
2019-12-31,0.06249,0.07315,0.06001,0.07104
2020-01-01,0.07104,0.08064,0.07063,0.07556
2020-01-02,0.07556,0.08021,0.0653,0.07673
2020-01-03,0.07673,0.08036,0.07425,0.07869
2020-01-04,0.07869,0.08818,0.0772,0.08579
2020-01-05,0.08579,0.1072,0.08417,0.101
2020-01-06,0.101,0.1025,0.08016,0.09175
2020-01-07,0.09175,0.0974,0.08639,0.09112
2020-01-08,0.09112,0.1052,0.085,0.09677
2020-01-09,0.09677,0.1045,0.09372,0.09585
2020-01-10,0.09585,0.09964,0.09222,0.0947
2020-01-11,0.0947,0.09874,0.08938,0.0947
2020-01-12,0.0947,0.09528,0.08548,0.08813
2020-01-13,0.08813,0.08825,0.08345,0.08534
2020-01-14,0.08534,0.09472,0.08501,0.08901
2020-01-15,0.08901,0.09627,0.08813,0.09009
2020-01-16,0.09009,0.09545,0.08596,0.08821
2020-01-17,0.08821,0.09955,0.08804,0.09436
2020-01-18,0.09436,0.1067,0.09092,0.09856
2020-01-19,0.09856,0.1068,0.09007,0.09902
2020-01-20,0.09902,0.1072,0.09195,0.1052
2020-01-21,0.1052,0.1084,0.09497,0.102
2020-01-22,0.102,0.1083,0.1014,0.1036
2020-01-23,0.1036,0.1058,0.0954,0.09849
2020-01-24,0.09849,0.1206,0.0921,0.09903
2020-01-25,0.09903,0.107,0.09802,0.1036
2020-01-26,0.1036,0.1092,0.1019,0.1084
2020-01-27,0.1084,0.1149,0.1041,0.1105
2020-01-28,0.1105,0.1351,0.1091,0.1203
2020-01-29,0.1203,0.1273,0.111,0.1175
2020-01-30,0.1175,0.1269,0.1119,0.1186
2020-01-31,0.1186,0.1319,0.1149,0.126
2020-02-01,0.126,0.1285,0.1127,0.1168
2020-02-02,0.1168,0.1211,0.1086,0.1183
2020-02-03,0.1183,0.137,0.1141,0.1185
2020-02-04,0.1185,0.1269,0.1098,0.1171
2020-02-05,0.1171,0.1247,0.1121,0.1244
2020-02-06,0.1244,0.1345,0.1201,0.1312
2020-02-07,0.1312,0.1336,0.115,0.1217
2020-02-08,0.1217,0.1305,0.1217,0.1266
2020-02-09,0.1266,0.1303,0.1202,0.1275
2020-02-10,0.1275,0.1319,0.1204,0.1226
2020-02-11,0.1226,0.1289,0.1056,0.1143
2020-02-12,0.1143,0.1301,0.1116,0.1221
2020-02-13,0.1221,0.1323,0.1192,0.1232
2020-02-14,0.1232,0.1345,0.1225,0.1311
2020-02-15,0.1311,0.1311,0.115,0.1178
2020-02-16,0.1178,0.1251,0.1101,0.1151
2020-02-17,0.1151,0.1201,0.1011,0.1084
2020-02-18,0.1084,0.1229,0.1073,0.1225
2020-02-19,0.1225,0.1225,0.1009,0.116
2020-02-20,0.116,0.1181,0.1047,0.1169
2020-02-21,0.1169,0.1263,0.1047,0.1251
2020-02-22,0.1251,0.1303,0.1083,0.1097
2020-02-23,0.1097,0.1164,0.1062,0.1064
2020-02-24,0.1064,0.1185,0.1061,0.1095
2020-02-25,0.1095,0.1168,0.1051,0.1097
2020-02-26,0.1097,0.1153,0.1002,0.1067
2020-02-27,0.1067,0.1131,0.1005,0.1047
2020-02-28,0.1047,0.109,0.09759,0.1025
2020-02-29,0.1025,0.1032,0.08577,0.0973
2020-03-01,0.0973,0.09929,0.09579,0.09637
2020-03-02,0.09637,0.09962,0.09389,0.09717
2020-03-03,0.09717,0.09749,0.0909,0.09341
2020-03-04,0.09341,0.09668,0.08034,0.0887
2020-03-05,0.0887,0.1041,0.08861,0.09955
2020-03-06,0.09955,0.108,0.09777,0.1078
2020-03-07,0.1078,0.1082,0.1005,0.1036
2020-03-08,0.1036,0.1047,0.09036,0.09248
2020-03-09,0.09248,0.09397,0.08275,0.08356
2020-03-10,0.08356,0.1015,0.08331,0.09851
2020-03-11,0.09851,0.1059,0.09384,0.09915
2020-03-12,0.09915,0.1006,0.05819,0.0678
2020-03-13,0.0678,0.08842,0.04129,0.06842
2020-03-14,0.06842,0.07035,0.05941,0.06238
2020-03-15,0.06238,0.07007,0.06101,0.0648
2020-03-16,0.0648,0.06761,0.03902,0.04453
2020-03-17,0.04453,0.06431,0.04453,0.05194
2020-03-18,0.05194,0.05912,0.05,0.05546
2020-03-19,0.05546,0.0679,0.04867,0.0664
2020-03-20,0.0664,0.07321,0.05906,0.06053
